panel,cadence,book,is_pick,full_argmax,oos_CAGR,oos_Sharpe,oos_MaxDD,ladder_med_oos,beats_median,oos_rank,keep4b,keep4a,pick_turn
B136,M,EWELIG,0.2,0.95,0.0674611869985764,0.8875663883727716,-0.14648805310235402,1.06879804924843,False,16,False,False,8.008773482944044
B136,M,FIXEDW,1.0,0.95,0.11895584520713154,1.1474600708998506,-0.17029159652261905,1.1375298955948903,True,3,True,False,2.259869062697631
B136,M,FIXEDW0,1.0,0.95,0.11895584520713154,1.1474600708998506,-0.17029159652261905,1.1376061255235332,True,3,True,False,2.259869062697631
B136,M,V1TOP5,0.35,0.35,0.06473883527097168,0.5873038330432159,-0.2212175786300289,0.5534048267597925,True,1,False,False,13.015269559719632
B136,W,EWELIG,0.2,0.8,0.04837635270241236,0.6710298694556581,-0.1707494070720802,1.0150715469159208,False,17,False,False,16.72216227115475
B136,W,FIXEDW,1.0,0.95,0.11030072263577329,1.1010170195272577,-0.17738240708394692,1.0667809461137534,True,4,True,False,4.713955725539976
B136,W,FIXEDW0,1.0,0.95,0.11030072263577329,1.1010170195272577,-0.17738240708394692,1.0696399187334003,True,4,True,False,4.713955725539976
B136,W,V1TOP5,0.2,0.8,0.03623894020853302,0.40555171621328856,-0.19180338985345569,0.5483992335101816,False,17,False,False,29.872099969681635
SMALL,M,EWELIG,0.2,1.0,0.008834558887990118,0.13690255037156582,-0.3934924009418377,0.39307273208090104,False,17,False,False,11.736821623318555
SMALL,M,FIXEDW,0.2,1.0,0.002365638496681477,0.06902641471391234,-0.33884650348017,0.3854605104324512,False,17,False,False,8.9678316647045
SMALL,M,FIXEDW0,0.2,1.0,-0.0017187037595888244,-0.08216080591353947,-0.11116178995654513,0.39053000819863787,False,17,False,False,2.0541461339364036
SMALL,M,V1TOP5,0.35,0.2,0.00456168244631483,0.0977674775823377,-0.3953580958257136,0.12443904936221233,False,15,False,False,13.995090089176637
SMALL,W,EWELIG,0.2,1.0,-0.006369914478668859,-0.0246553791654804,-0.34282151517873827,0.31907980790786494,False,17,False,False,26.208188566220265
SMALL,W,FIXEDW,0.25,1.0,-0.020160387133512314,-0.18509851466385918,-0.38400033366701825,0.28462399562977525,False,16,False,False,15.711167990717113
SMALL,W,FIXEDW0,0.4,1.0,0.008576671547547932,0.14285131373217339,-0.18711272259058487,0.2838328668151844,False,13,False,False,7.343619404778516
SMALL,W,V1TOP5,0.35,0.35,0.0782047646763866,0.7393112118241507,-0.252591339809384,0.6934048161361246,True,1,False,False,33.58537024129239
U56,M,EWELIG,1.0,0.5,0.134755183685062,1.2020020265342546,-0.17413238117811314,1.1912069510773635,True,7,True,False,3.328142419269039
U56,M,FIXEDW,1.0,1.0,0.13809388784342147,1.29163037725233,-0.15842548468494444,1.2868796369186226,True,8,True,False,2.129119777287586
U56,M,FIXEDW0,1.0,1.0,0.13809388784342147,1.29163037725233,-0.15842548468494444,1.2863187588614582,True,8,True,False,2.129119777287586
U56,M,V1TOP5,0.4,0.4,0.10427567643630975,0.931543022468416,-0.15396113541936474,0.8838675149683429,True,1,False,False,10.494741839271954
U56,W,EWELIG,0.85,0.65,0.11165361104342209,1.0537709318774129,-0.16248682277669635,1.0539426482111705,False,10,True,False,7.825860035053337
U56,W,FIXEDW,1.0,1.0,0.12823956859509567,1.2444959623089538,-0.16576959046500517,1.2384924316209538,True,7,True,False,4.473485962935
U56,W,FIXEDW0,1.0,1.0,0.12823956859509567,1.2444959623089538,-0.16576959046500517,1.238500446605257,True,7,True,False,4.473485962935
U56,W,V1TOP5,0.35,0.45,0.06735948856134022,0.673999047027005,-0.1302376017856266,0.7334785563406279,False,14,False,False,23.635750838159908
