pair,s,rep,abs_resid,min_n,rel
BS,90,0,0.0822071641522727,90,0.4103895787985356
BS,90,2,0.06106945399386465,90,0.30486719448898286
BS,90,3,0.08235917630698364,90,0.41114844458337796
SS,40,4,0.017474335655520423,40,0.08723431009212111
SS,40,5,0.029410649270024625,40,0.1468220451414657
SS,60,0,0.006983538484759133,60,0.034862793855472404
SS,60,0,0.03567470693851643,60,0.17809309085446906
SS,60,1,0.015590773917604439,60,0.07783130834360491
SS,60,1,0.008870599776337973,60,0.04428326586182431
SS,60,2,0.03968056873075004,60,0.19809090917836572
SS,60,2,0.04524973182153885,60,0.22589294466587723
SS,60,3,0.009335194143305303,60,0.04660258545565832
SS,60,3,0.007880967476051437,60,0.03934288399768736
SS,60,4,0.007680178378349667,60,0.03834051694023073
SS,60,4,0.006145205107083551,60,0.03067771722249474
SS,60,5,0.006776376989581723,60,0.033828614904941344
SS,60,5,0.01037538354504669,60,0.0517953553906561
SS,90,0,0.00021884576322700466,90,0.0010925084391211367
SS,90,0,0.0029896254951032875,90,0.014924625613263931
SS,90,0,0.008091619198207112,90,0.04039448664594954
SS,90,1,0.007010057368285305,90,0.03499517980446774
SS,90,1,0.00741057742676865,90,0.03699463155294166
SS,90,2,0.009230168534639205,90,0.04607828303325991
SS,90,2,0.0063806260516975355,90,0.03185297126874219
SS,90,3,6.284714989113205e-05,90,0.0003137416992603688
SS,90,3,0.010379912448721662,90,0.05181796430668862
SS,90,4,0.006317530063375099,90,0.031537987333478845
SS,90,4,0.007506692553371552,90,0.03747445161156416
SS,90,5,0.015011065582552996,90,0.07493732383628038
SS,90,5,0.009397029545377633,90,0.04691127636931514
SS,136,0,0.021311079784607778,136,0.10638786955778215
SS,136,0,0.01634086548761815,136,0.08157586961940887
SS,136,0,0.004056429428280883,136,0.020250258984905678
SS,136,0,0.00015341265291235473,136,0.0007658572663381022
SS,136,1,0.0040620250548672465,136,0.02027819312983784
SS,136,1,0.007637194619853682,136,0.03812593604906083
SS,136,1,0.019642298384150825,136,0.0980570810784252
SS,136,1,0.03541065858635817,136,0.17677492481453663
SS,136,2,0.004777157433699775,136,0.023848233268805002
SS,136,2,0.003196628422385439,136,0.015958012970843004
SS,136,2,0.003707498008057475,136,0.01850834488226356
SS,136,2,0.019459826083993548,136,0.09714615401779536
SS,136,3,0.004299395120931637,136,0.021463177461022224
SS,136,3,0.0034456818104465214,136,0.01720132206779
SS,136,3,0.008732524105807438,136,0.04359397294124149
SS,136,3,0.001443687512098002,136,0.007207088531957653
SS,136,4,0.0010279683958331898,136,0.005131760976485723
SS,136,4,0.004281807809248084,136,0.021375379158910225
SS,136,4,0.0102040972214264,136,0.05094027027819224
SS,136,4,0.026008900251759837,136,0.12984004167278843
SS,136,5,0.016526106352873327,136,0.08250061774145251
SS,136,5,0.001749314128946744,136,0.008732819042814949
SS,136,5,0.00048811152485128684,136,0.002436720511601453
