population,predictor,kind,auc_all_DG,auc_within_market
POP_A,GAP,path,0.7629179331306991,0.9223214285714286
POP_A,SD,path,0.9669452887537994,0.9223214285714286
POP_A,RHO1,path,0.09403495440729483,0.22098214285714285
POP_A,RHO5,path,0.09916413373860182,0.2330357142857143
POP_A,DRHO1,path,0.26861702127659576,0.51875
POP_A,RUN,path,0.526595744680851,0.60625
POP_A,TIMING,path,0.6244300911854104,0.6959821428571429
POP_A,DDTIME,path,0.60790273556231,0.7441964285714285
POP_B,GAP,path,0.6170842637086733,
POP_B,SD,path,0.6169937128921725,
POP_B,RHO1,path,0.40661947048352076,
POP_B,RHO5,path,0.4068942098926767,
POP_B,DRHO1,path,0.4739728141753187,
POP_B,RUN,path,0.45518660671105027,
POP_B,TIMING,path,0.45792576891020037,
POP_B,DDTIME,path,0.5767366720516963,
