item,seed,crossing_A,crossing_B,steps
219,0,0.425,0.425,0.0
219,1,0.45,0.35,4.0
219,2,0.35,0.45,4.0
219,3,0.425,0.45,1.0
219,4,0.35,0.45,4.0
219,5,0.375,0.45,3.0
219,6,0.425,0.35,3.0
219,7,0.4,0.425,1.0
219,8,0.45,0.2,10.0
219,9,0.45,0.35,4.0
167,0,0.05,0.05,0.0
167,1,0.05,0.05,0.0
167,2,0.05,0.05,0.0
167,3,0.05,0.05,0.0
167,4,0.05,0.05,0.0
167,5,0.05,0.05,0.0
167,6,0.05,0.05,0.0
167,7,0.05,0.05,0.0
167,8,0.05,0.05,0.0
167,9,0.05,0.05,0.0
159B,0,0.05,0.05,0.0
159B,1,0.05,0.05,0.0
159B,2,0.05,0.05,0.0
159B,3,0.05,0.05,0.0
159B,4,0.05,0.05,0.0
159B,5,0.05,0.05,0.0
159B,6,0.05,0.05,0.0
159B,7,0.05,0.05,0.0
159B,8,0.05,0.05,0.0
159B,9,0.05,0.05,0.0
159c,0,0.03,0.03,0.0
159c,1,0.03,0.03,0.0
159c,2,0.03,0.03,0.0
159c,3,0.03,0.03,0.0
159c,4,0.03,0.03,0.0
159c,5,0.03,0.03,0.0
159c,6,0.03,0.03,0.0
159c,7,0.03,0.03,0.0
159c,8,0.03,0.03,0.0
159c,9,0.03,0.03,0.0
168B,0,,,
168B,1,,,
168B,2,,,
168B,3,,,
168B,4,,,
168B,5,,,
168B,6,,0.75,
168B,7,,,
168B,8,,,
168B,9,,,
168c,0,0.5,0.5,0.0
168c,1,0.5,0.5,0.0
168c,2,0.5,0.5,0.0
168c,3,0.5,0.5,0.0
168c,4,0.1,0.5,2.0
168c,5,0.5,0.5,0.0
168c,6,0.5,0.5,0.0
168c,7,0.5,0.25,1.0
168c,8,0.5,0.5,0.0
168c,9,0.5,0.5,0.0
103,0,-0.0112974636741161,-0.0112974636741161,0.0
103,1,-0.0112974636741161,-0.0112974636741161,0.0
103,2,-0.0112974636741161,0.0233204623500097,1.0
103,3,-0.0112974636741161,-0.0112974636741161,0.0
103,4,-0.0112974636741161,-0.0112974636741161,0.0
103,5,-0.0112974636741161,0.0233204623500097,1.0
103,6,-0.0112974636741161,-0.0112974636741161,0.0
103,7,-0.0112974636741161,0.0233204623500097,1.0
103,8,-0.0112974636741161,-0.0112974636741161,0.0
103,9,0.0233204623500097,-0.0112974636741161,1.0
61,0,,,
61,1,,,
61,2,,,
61,3,,,
61,4,,,
61,5,,,
61,6,,,
61,7,,,
61,8,,,
61,9,,,
277,0,0.0,0.0,0.0
277,1,0.0,0.0,0.0
277,2,0.0,0.125,1.0
277,3,0.0,0.875,7.0
277,4,0.0,0.0,0.0
277,5,0.0,0.875,7.0
277,6,0.125,,
277,7,,0.0,
277,8,0.0,0.125,1.0
277,9,,0.0,
bandgate,0,0.0,0.0,0.0
bandgate,1,0.0,0.0,0.0
bandgate,2,0.0,0.0,0.0
bandgate,3,0.0,0.0,0.0
bandgate,4,0.0,0.0,0.0
bandgate,5,0.0,0.0,0.0
bandgate,6,0.0,0.0,0.0
bandgate,7,0.0,0.0,0.0
bandgate,8,0.0,0.0,0.0
bandgate,9,0.0,0.0,0.0
