band,L,n,frac,f_V1u,f_TOP20,f_EWall
9-15pp,2,110,0.5113636363636365,0.3034090909090909,0.634090909090909,0.5965909090909091
9-15pp,3,96,0.5911458333333334,0.3352864583333333,0.7838541666666666,0.654296875
9-15pp,4,82,0.598069105691057,0.3719512195121951,0.7949695121951219,0.6272865853658537
9-15pp,5,58,0.6221264367816094,0.3793103448275862,0.84375,0.6433189655172413
9-15pp,6,34,0.625,0.37683823529411764,0.84375,0.6544117647058824
15-21pp,2,138,0.5729166666666666,0.3813405797101449,0.6277173913043478,0.7096920289855072
15-21pp,3,122,0.5963114754098361,0.4077868852459016,0.6639344262295082,0.7172131147540983
15-21pp,4,98,0.572704081632653,0.38010204081632654,0.6517857142857143,0.6862244897959183
15-21pp,5,88,0.5632102272727273,0.36860795454545453,0.6455965909090909,0.6754261363636364
15-21pp,6,88,0.5696022727272727,0.40269886363636365,0.6392045454545454,0.6669034090909091
21-28pp,2,46,0.5878623188405798,0.5407608695652174,0.5421195652173914,0.6807065217391305
21-28pp,3,54,0.5991512345679013,0.6180555555555556,0.5266203703703703,0.6527777777777778
21-28pp,4,54,0.6234567901234569,0.6412037037037037,0.5763888888888888,0.6527777777777778
21-28pp,5,40,0.6166666666666667,0.621875,0.578125,0.65
21-28pp,6,16,0.62109375,0.5859375,0.58984375,0.6875
28-35pp,2,46,0.6612318840579711,0.421195652173913,0.8125,0.75
28-35pp,3,70,0.6625000000000001,0.425,0.8125,0.75
28-35pp,4,94,0.6859485815602836,0.4953457446808511,0.8125,0.75
28-35pp,5,118,0.699329096045198,0.5354872881355932,0.8125,0.75
28-35pp,6,142,0.7074530516431925,0.5598591549295775,0.8125,0.75
