panel,cadence,book,m_star,interior,t_min,t_max,t_035,t_060,ratio_035_over_060,n_bar_035,n_bar_060,churn_035,churn_060
B136,M,EWELIG,1.0,False,3.509723525604197,8.008773482944044,4.772880915127935,3.7619092016076006,1.268738999093415,81.81220657276995,91.14553990610328,27.2311320754717,22.245283018867923
B136,M,FIXEDW,1.0,False,2.259869062697631,5.655432693876574,3.1882643190255218,2.4204070461518166,1.3172430331891962,81.81220657276995,91.14553990610328,27.2311320754717,22.245283018867923
B136,M,FIXEDW0,1.0,False,2.259869062697631,3.1331274861249403,2.8066643393316033,2.3796005028015053,1.1794687116712723,81.81220657276995,91.14553990610328,27.2311320754717,22.245283018867923
B136,M,V1TOP5,0.35,True,13.015269559719632,13.129527673415021,13.015269559719632,13.066162136482705,0.9961050095482152,81.81220657276995,91.14553990610328,27.2311320754717,22.245283018867923
B136,W,EWELIG,1.0,False,7.90263635841436,16.72216227115475,9.982893359110843,8.26495148454321,1.207858676216123,82.20801733477789,91.42036836403034,11.66594360086768,10.081344902386117
B136,W,FIXEDW,1.0,False,4.713955725539976,10.558330803952568,6.144891935363486,4.92025107374028,1.2488980426546115,82.20801733477789,91.42036836403034,11.66594360086768,10.081344902386117
B136,W,FIXEDW0,1.0,False,4.713955725539976,5.672350779349434,5.379307854995884,4.83603168886332,1.1123392485999728,82.20801733477789,91.42036836403034,11.66594360086768,10.081344902386117
B136,W,V1TOP5,0.4,True,29.438367019217793,29.872099969681635,29.505426701792253,29.43860053320798,1.002270018525809,82.20801733477789,91.42036836403034,11.66594360086768,10.081344902386117
SMALL,M,EWELIG,1.0,False,4.604801481983756,11.736821623318555,7.678665542512763,5.413385557106886,1.418459014513004,175.4814814814815,253.31746031746033,111.38297872340425,106.83510638297872
SMALL,M,FIXEDW,1.0,False,3.4189144684478427,8.9678316647045,5.949907143950595,4.077537565077957,1.4591912518252521,175.4814814814815,253.31746031746033,111.38297872340425,106.83510638297872
SMALL,M,FIXEDW0,0.2,False,2.0541461339364036,3.8032549460922493,3.7233891891038846,3.696880880990592,1.0071704523263376,175.4814814814815,253.31746031746033,111.38297872340425,106.83510638297872
SMALL,M,V1TOP5,0.2,False,13.611964692668113,14.036633260664688,13.995090089176637,14.01487000365175,0.9985886480238519,175.4814814814815,253.31746031746033,111.38297872340425,106.83510638297872
SMALL,W,EWELIG,1.0,False,10.36268222342847,26.208188566220265,16.436175762963355,11.78587546982674,1.39456553779496,173.6984126984127,251.93162393162393,48.26772616136919,47.48044009779951
SMALL,W,FIXEDW,1.0,False,7.124761875666138,17.977212645284,11.622918381528338,8.225944609045413,1.4129585031179939,173.6984126984127,251.93162393162393,48.26772616136919,47.48044009779951
SMALL,W,FIXEDW0,0.2,False,3.9301044897287043,7.478242278572037,7.172314227905757,7.41485131735465,0.9672903637485989,173.6984126984127,251.93162393162393,48.26772616136919,47.48044009779951
SMALL,W,V1TOP5,0.2,False,32.56259345516662,33.70911875451644,33.58537024129239,33.64884965928478,0.9981134743494902,173.6984126984127,251.93162393162393,48.26772616136919,47.48044009779951
U56,M,EWELIG,1.0,False,3.328142419269039,6.408369200005031,4.507418945316064,3.6360174861876047,1.239658214636952,33.840375586854464,37.521126760563384,10.367924528301886,8.81132075471698
U56,M,FIXEDW,1.0,False,2.129119777287586,4.429866632009948,2.9507037707016344,2.339522193507237,1.2612420514285267,33.840375586854464,37.521126760563384,10.367924528301886,8.81132075471698
U56,M,FIXEDW0,1.0,False,2.129119777287586,2.665380082386694,2.5940705913792104,2.285266939545809,1.135128044120209,33.840375586854464,37.521126760563384,10.367924528301886,8.81132075471698
U56,M,V1TOP5,0.25,True,10.211587873060502,10.51098118034274,10.476132876972413,10.4950898605473,0.9981937283218366,33.840375586854464,37.521126760563384,10.367924528301886,8.81132075471698
U56,W,EWELIG,1.0,False,7.716515801650588,13.559014019533173,9.868926004623832,8.198860397209625,1.203694846174304,33.87323943661972,37.45070422535211,4.53470715835141,4.007592190889371
U56,W,FIXEDW,1.0,False,4.473485962935,8.391480136159213,5.807996199077706,4.767098337834409,1.2183504067835433,33.87323943661972,37.45070422535211,4.53470715835141,4.007592190889371
U56,W,FIXEDW0,1.0,False,4.473485962935,5.053572702914825,5.053572702914825,4.650159450918021,1.0867525632733226,33.87323943661972,37.45070422535211,4.53470715835141,4.007592190889371
U56,W,V1TOP5,0.2,False,22.54304652255175,23.657610876652498,23.635750838159908,23.622963529111036,1.000541308419374,33.87323943661972,37.45070422535211,4.53470715835141,4.007592190889371
