claim_set,cost_bps,n_claims,n_unpriced,share_unpriced,null_med_gain_min,null_med_gain_median,null_med_gain_max,cells_null_gain_pos,n_cells,cells_book_beats_null,share_book_beats_null
STRICT,0.0,1487,1322,0.8890383322125084,-0.071661534255329,-0.027862904612469264,0.04091647464695558,2,16,6,0.375
STRICT,10.0,1487,1322,0.8890383322125084,-0.008580319450734675,0.45598750386863585,2.2292754005581523,15,16,0,0.0
STRICT,25.0,1487,1322,0.8890383322125084,0.0828088793597766,1.12407778527922,5.611628710087091,16,16,0,0.0
STRICT,50.0,1487,1322,0.8890383322125084,0.23761689626403637,2.1333476190358818,11.264150785261943,16,16,0,0.0
WIDE,0.0,2750,2449,0.8905454545454545,-0.071661534255329,-0.027862904612469264,0.04091647464695558,2,16,6,0.375
WIDE,10.0,2750,2449,0.8905454545454545,-0.008580319450734675,0.45598750386863585,2.2292754005581523,15,16,0,0.0
WIDE,25.0,2750,2449,0.8905454545454545,0.0828088793597766,1.12407778527922,5.611628710087091,16,16,0,0.0
WIDE,50.0,2750,2449,0.8905454545454545,0.23761689626403637,2.1333476190358818,11.264150785261943,16,16,0,0.0
