basis,thick,char,n_rungs,n_thin,n_thick,min_n,abs_resid,convention
FULL,S439frozen,momac,4,134.0,427,134.0,0.0026987864356393942,frozen rungs+chars
FULL,S439frozen,tpers,3,134.0,430,134.0,0.001418107415476692,frozen rungs+chars
FULL,S663today,momac,4,134.0,654,134.0,0.005587794563952919,frozen rungs+chars
FULL,S663today,tpers,3,134.0,663,134.0,0.0013817095661366279,frozen rungs+chars
SUB,S439frozen,momac,4,134.0,427,134.0,0.0043875117161149835,frozen rungs+chars
SUB,S439frozen,tpers,3,134.0,430,134.0,0.0014789350729692934,frozen rungs+chars
SUB,S663today,momac,4,134.0,654,134.0,0.005587794563952919,frozen rungs+chars
SUB,S663today,tpers,3,134.0,663,134.0,0.0013817095661366279,frozen rungs+chars
,S439frozen,momac,4,,427,,0.004613588285815123,per-vintage rungs+chars
,S439frozen,tpers,3,,430,,0.0013473690690583018,per-vintage rungs+chars
,S663today,momac,4,,654,,0.005587794563952919,per-vintage rungs+chars
,S663today,tpers,3,,663,,0.0013817095661366279,per-vintage rungs+chars
