source,cost,n_fail,n_L3_fails,min_depth,depth1,depth2,depth3,depth4,depth5
REAL,0.0,15,0,,0,0,0,0,0
REAL,10.0,17,0,,0,0,0,0,0
REAL,25.0,22,0,,0,0,0,0,0
NULL,0.0,2785,4,3.0,0,0,1,3,0
NULL,10.0,3895,309,3.0,0,0,53,75,181
NULL,25.0,4497,3881,3.0,0,0,19,1807,2055
