bar,q,cells,rho_n,rho_conc,rho_k
H1,0.0,17,0.8195018692061405,0.5135774792073692,0.2689495262569018
H1,0.25,17,0.8948420198198141,0.4440271226498654,0.46770487423379364
H1,0.5,17,0.6831352638197612,0.5971252960602869,0.04106906867279912
H1,0.75,17,-0.431501472635512,-0.13932788165407978,-0.28958130390616504
H1,1.0,17,-0.13032150878567172,-0.2327993319733852,0.02649119392081199
H2,0.0,17,0.5591721117051422,0.7614601224499422,-0.29380885114470784
H2,0.25,17,0.5805044691494319,0.808176739984225,-0.28663257266645153
H2,0.5,17,0.7587080227868878,0.4818898464974861,0.3084537855370977
H2,0.75,17,0.31277162108561213,0.2327993319733852,0.02649119392081199
H2,1.0,17,-0.4949015419574726,-0.28335432331990384,-0.2515036244183225
OOS,0.0,17,0.8796135161498122,0.7591086390339817,0.0448389760069682
OOS,0.25,17,0.8076551582986351,0.7734377745472423,0.04922742388742322
OOS,0.5,17,0.7515131401015229,0.4393934573073258,0.37237132215629715
OOS,0.75,17,-0.03806934938134405,-0.18890288221326923,0.03869286529512654
OOS,1.0,17,-0.33883592284274644,-0.3621322941808214,0.02649119392081199
DDcap,0.0,17,0.6340745228738282,0.8939810876247222,-0.36939346129728107
DDcap,0.25,17,0.8118258024784858,0.9446199327022857,-0.22521136788580814
DDcap,0.5,17,0.8885469875540621,0.8972546768840176,-0.045484597840988426
DDcap,0.75,17,0.8256969504335876,0.8960903703517374,-0.12046875845153059
DDcap,1.0,17,0.5698008528382156,0.8503984990708473,-0.3766599561913021
CAGRfloor,0.0,17,0.012482115661182337,-0.6339451141499699,0.8201483402228967
CAGRfloor,0.25,17,0.11360803116143399,-0.5006698491545603,0.813500187619806
CAGRfloor,0.5,17,-0.5932202424410686,-0.8395065174315176,0.2992207610696852
CAGRfloor,0.75,17,-0.7399280417773513,-0.7811270894079176,0.04150211226329001
CAGRfloor,1.0,17,-0.4987043253680348,-0.670538713458702,0.37606655691585583
joint4b,0.0,17,0.41083100877824247,0.5068507749254381,-0.08007995644452354
joint4b,0.25,17,0.5099478465835527,0.5277969983197636,-0.013479843646474901
joint4b,0.5,17,0.29501939768901253,0.23954853633334067,0.09767884893733439
joint4b,0.75,17,,,
joint4b,1.0,17,,,
pass4a,0.0,17,,,
pass4a,0.25,17,0.07819290527140303,0.38799888662230864,-0.37087671489136786
pass4a,0.5,17,,,
pass4a,0.75,17,,,
pass4a,1.0,17,,,
