panel,N,H,cadence,d_OOS,d_full,d_DD
U56,5,21,W,-0.27640530490643334,-0.3058452433736534,0.014915931121035397
U56,5,21,M,-0.010068220393477656,-0.28786308049551523,-0.04769765416542471
U56,5,63,W,-0.04158785186431191,-0.16139264566320644,-0.02985007148661256
U56,5,63,M,0.15725382135105603,-0.05404456419583625,-0.02279156323616016
U56,5,126,W,0.17817227688685144,-0.033619450484174696,-0.12051738461531936
U56,5,126,M,0.011307780822112257,-0.13714568029798646,-0.022791563236160273
U56,5,252,W,0.09645578608135752,-0.11367952983428076,-0.05810311506026644
U56,5,252,M,-0.05338204371146693,-0.1326489426167432,-0.028905789134563986
U56,8,21,W,-0.30078617185084333,-0.19588476307928326,0.011494141895578514
U56,8,21,M,-0.18880421505988754,-0.215498588213207,-0.006658721170474391
U56,8,63,W,-0.28295094880659166,-0.24199603469458963,-0.006352070077975447
U56,8,63,M,-0.09367022454268648,-0.09054955096227768,-0.024283769607985062
U56,8,126,W,-0.006439910227931334,-0.09194800681198456,-0.060296179868269406
U56,8,126,M,-0.18194304698016017,-0.23896245295255125,-0.03158561462441534
U56,8,252,W,0.0787777952305273,0.0674262379434436,-0.04950121007136299
U56,8,252,M,-0.00042223768226301583,-0.13251158672131658,-0.06112452022431669
U56,10,21,W,-0.2697625029754208,-0.21676817493773093,-0.004306848456794521
U56,10,21,M,-0.13120783557449212,-0.15215717636908643,-0.03502914774557098
U56,10,63,W,-0.32633469157123784,-0.23821394149999453,-0.03942284638555882
U56,10,63,M,-0.12113394216416895,-0.14362451174000057,-0.03531617905100359
U56,10,126,W,-0.06565612314820646,-0.13675893028798036,-0.05947519082195629
U56,10,126,M,-0.030824737603873276,-0.14912200593657787,-0.05707091145594523
U56,10,252,W,0.23721177482440714,0.1374003518532858,-0.05583533525932338
U56,10,252,M,0.08487446374202934,-0.04148198010688664,-0.05776299579787847
U56,12,21,W,-0.25036564840197184,-0.23419991751884905,-0.021093964604450566
U56,12,21,M,-0.16738545949487482,-0.10696692398049401,-0.05345924489798215
U56,12,63,W,-0.19628878696125296,-0.1602013469237138,-0.024328294495879255
U56,12,63,M,-0.16701223817481425,-0.11168688009377248,-0.02718683188018911
U56,12,126,W,-0.1409719378606762,-0.17938012221072341,-0.0642518258241328
U56,12,126,M,0.010782882903236812,-0.09112455019134003,-0.07738143701369449
U56,12,252,W,0.043700435062832055,-0.05405212134226667,-0.05606831568827575
U56,12,252,M,0.03398529543209916,-0.043585339984567595,-0.013838491269884567
U56,15,21,W,-0.09176243172676557,-0.05864016602347233,-0.037154302210054224
U56,15,21,M,-0.22263616766320904,-0.14670615204967863,-0.04154301403396865
U56,15,63,W,-0.1767629639168754,-0.14837203353248785,-0.023615610717007907
U56,15,63,M,-0.29886345356658206,-0.1819496049521807,-0.026056345544173132
U56,15,126,W,-0.11510168236781682,-0.11715577293210666,-0.06186015310912252
U56,15,126,M,0.02249073994110984,0.03641393027768913,-0.0699457724292315
U56,15,252,W,0.056646838718449555,0.015978358788596214,-0.015026500899081752
U56,15,252,M,-0.018784023019925655,-0.060781615100717445,-0.007692267331975811
U56,20,21,W,-0.03575601644532567,-0.04562290434782046,-0.026335254419740606
U56,20,21,M,-0.18102991604263885,-0.10006416510683325,-0.019211585412424848
U56,20,63,W,-0.12136151329907419,-0.08097213610851006,-0.014945926892603212
U56,20,63,M,-0.3253184728181805,-0.17137798264366078,-0.04219512026438199
U56,20,126,W,-0.07906099190560156,-0.08036860118188782,-0.01056657818545137
U56,20,126,M,0.015863642698117575,0.02698477612478034,-0.05660912829015807
U56,20,252,W,-0.05879758054740081,-0.1105218449186991,-0.027269758484933293
U56,20,252,M,0.008755690901223412,0.0011714748723623547,-0.018985274038488043
U56,25,21,W,-0.06783524153977027,-0.013610031963464664,-0.02326702275815984
U56,25,21,M,-0.0600267946033437,-0.02861816874044809,-0.033774249625327935
U56,25,63,W,-0.07852773033181526,-0.02424993266010289,-0.004580514303612171
U56,25,63,M,-0.14319636390373625,-0.05226319777704824,-0.02560839200816767
U56,25,126,W,-0.12302751933521905,-0.03957468361100114,0.0025846724764188034
U56,25,126,M,-0.07420717317311465,0.0034886432014085145,-0.02873597509977588
U56,25,252,W,-0.11107387957554304,-0.1349139657168802,-0.0114422915712874
U56,25,252,M,-0.04170489153282553,-0.0027260696721465028,-0.028085131381631157
U56,30,21,W,0.012030756282432886,-0.004407555174024802,-0.012639699182461328
U56,30,21,M,-0.02125970031784763,-0.0011191800455483403,-0.00660856172157398
U56,30,63,W,-0.02199242442265681,-0.005864100085070767,-0.009104047172094565
U56,30,63,M,-0.019627302481298514,0.013721369957253149,-0.031257304264287855
U56,30,126,W,-0.10831642879678682,-0.024405821189539934,-0.007274748548731891
U56,30,126,M,-0.11894268521422113,-0.03833387498145946,-0.005797583912479087
U56,30,252,W,-0.07771374244108298,-0.029832279750394042,-0.018015923922230725
U56,30,252,M,-0.0987203887304442,-0.05188537506093449,-0.018910020218792956
U56,40,21,W,-0.0810750155935791,-0.04671736443762642,-0.003111545307908581
U56,40,21,M,-0.01642601035132163,0.0010735908619801116,0.006408825983154731
U56,40,63,W,-0.04160330563913828,-0.022765575221096013,-0.009925860066750114
U56,40,63,M,-0.016742150462685235,-0.004861406133103152,-0.0107137834676726
U56,40,126,W,-0.06441111383902398,-0.025680634213210984,-0.009374617411226804
U56,40,126,M,0.04371763357272829,0.03830196760374838,-0.019658065699269867
U56,40,252,W,0.04238690873705675,0.04360253177905138,-0.008412665618567572
U56,40,252,M,-0.044824095376232664,-0.001590224521027972,-0.017498539917395917
B136,5,21,W,-0.539160670679246,-0.4599149348957692,-0.03132608405176762
B136,5,21,M,-0.5454889851358176,-0.4721784199629977,-0.03375669299781914
B136,5,63,W,-0.2546437267647721,-0.29671817656441624,-0.03214978014581127
B136,5,63,M,0.09828219862012366,-0.07686940785988183,-0.03674581999861215
B136,5,126,W,0.09159498111233144,-0.15185527725730608,-0.08001315326562364
B136,5,126,M,-0.14187077874814735,-0.2718801466854045,-0.036745819998612705
B136,5,252,W,-0.1023853645911369,-0.2867151099645775,-0.09845295537268872
B136,5,252,M,-0.33213373058102935,-0.3512863971323186,0.004303158202161539
