uni,scaler,n,book,rows,pub,adm_all,adm_pub,d3_pub
universe.json(56),OFF,3,TOP3,32,18,0.3125,0.5555555555555556,0.6666666666666666
universe.json(56),OFF,5,TOP5,32,12,0.375,1.0,1.0
universe.json(56),OFF,10,TOP10,32,22,0.59375,0.8636363636363636,1.0
universe.json(56),OFF,20,TOP20,32,22,0.5625,0.7272727272727273,0.9090909090909091
universe.json(56),OFF,40,TOP40,32,24,0.75,1.0,1.0
universe.json(56),ON,3,VS3,32,16,0.25,0.5,0.5
universe.json(56),ON,5,VS5,32,24,0.25,0.3333333333333333,0.4166666666666667
universe.json(56),ON,10,VS10,32,16,0.0625,0.125,0.5
universe.json(56),ON,20,VS20,32,24,0.1875,0.25,1.0
universe.json(56),ON,40,VS40,32,24,0.6875,0.9166666666666666,1.0
universe.json(56),n/a,56,TOPall,32,24,0.71875,0.9583333333333334,1.0
universe_broad.json,OFF,3,TOP3,32,19,0.25,0.42105263157894735,0.7894736842105263
universe_broad.json,OFF,5,TOP5,32,14,0.3125,0.7142857142857143,1.0
universe_broad.json,OFF,10,TOP10,32,18,0.21875,0.3888888888888889,0.8888888888888888
universe_broad.json,OFF,20,TOP20,32,27,0.28125,0.3333333333333333,1.0
universe_broad.json,OFF,40,TOP40,32,28,0.6875,0.7857142857142857,0.8571428571428571
universe_broad.json,ON,3,VS3,32,11,0.25,0.7272727272727273,0.7272727272727273
universe_broad.json,ON,5,VS5,32,17,0.25,0.47058823529411764,0.47058823529411764
universe_broad.json,ON,10,VS10,32,24,0.21875,0.2916666666666667,0.5833333333333334
universe_broad.json,ON,20,VS20,32,17,0.375,0.5882352941176471,0.7647058823529411
universe_broad.json,ON,40,VS40,32,26,0.6875,0.8461538461538461,0.9230769230769231
universe_broad.json,n/a,136,TOPall,32,24,0.75,1.0,1.0
