check,value,target,err
R0_rules_v1_u56,0.6641804017269177,0.66418,4.0172691773143754e-07
R1_identity_broad,3.183231456205249e-12,0.0,3.183231456205249e-12
R2_engine_broad,2.0816681711721685e-17,0.0,2.0816681711721685e-17
R3_cost_broad,2.0816681711721685e-17,0.0,2.0816681711721685e-17
R1_identity_small,4.263256414560601e-13,0.0,4.263256414560601e-13
R2_engine_small,2.7755575615628914e-17,0.0,2.7755575615628914e-17
R3_cost_small,2.7755575615628914e-17,0.0,2.7755575615628914e-17
R4_grid_dSharpe,4.163336342344337e-16,0.0,4.163336342344337e-16
R5_null_band,3.191891195797325e-16,0.0,3.191891195797325e-16
R6_clause_mismatch,0.0,0.0,0.0
