panel,cost,selector,pick,n_pool,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,spy_OOS_Sharpe,spy_OOS_CAGR,spy_OOS_MaxDD
broad,10.0,S0 no screen,SLV50/ebud-0.10,136,0.08942380103926051,1.310959595040559,-0.13552457308742205,0.8820239235972316,0.1545044425578177,-0.3371595330739301
broad,10.0,S3 class (idea 133),SLV50/ebud-0.10,28,0.08942380103926051,1.310959595040559,-0.13552457308742205,0.8820239235972316,0.1545044425578177,-0.3371595330739301
broad,10.0,S5 class + beats own IS ladder,SLV50/ebud-0.10,3,0.08942380103926051,1.310959595040559,-0.13552457308742205,0.8820239235972316,0.1545044425578177,-0.3371595330739301
broad,25.0,S0 no screen,SLV25/ebud-0.10,136,0.11057833908994774,1.1559895495576566,-0.19544728889153273,0.8820239235972316,0.1545044425578177,-0.3371595330739301
broad,25.0,S3 class (idea 133),SLV50/ebud-0.10,13,0.08319985689927045,1.2249409268349118,-0.13609945791361955,0.8820239235972316,0.1545044425578177,-0.3371595330739301
broad,25.0,S5 class + beats own IS ladder,SLV50/ebud-0.10,1,0.08319985689927045,1.2249409268349118,-0.13609945791361955,0.8820239235972316,0.1545044425578177,-0.3371595330739301
small,10.0,S0 no screen,EWall/control,102,0.10089643214031607,0.6366624355474834,-0.36166373582084055,0.8820107671822842,0.15450717694493266,-0.33717235283398284
small,10.0,S3 class (idea 133),(empty),0,,,,0.8820107671822842,0.15450717694493266,-0.33717235283398284
small,10.0,S5 class + beats own IS ladder,(empty),0,,,,0.8820107671822842,0.15450717694493266,-0.33717235283398284
small,25.0,S0 no screen,EWall/ddctl-8/.5/recover,102,0.07553049086706154,0.6830863344772165,-0.23421384151565972,0.8820107671822842,0.15450717694493266,-0.33717235283398284
small,25.0,S3 class (idea 133),(empty),0,,,,0.8820107671822842,0.15450717694493266,-0.33717235283398284
small,25.0,S5 class + beats own IS ladder,(empty),0,,,,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,10.0,S0 no screen,TOP5/band3-rw,136,0.22881281689273947,1.0344837638075288,-0.2845418645837049,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,10.0,S3 class (idea 133),SLV50/ebud-0.10,28,0.08855326054011936,1.315711736412835,-0.12930014455898664,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,10.0,S5 class + beats own IS ladder,SLV50/ebud-0.10,4,0.08855326054011936,1.315711736412835,-0.12930014455898664,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,25.0,S0 no screen,TOP5/abs12-dg,136,0.20666024293974616,0.95355080882053,-0.2847131759570154,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,25.0,S3 class (idea 133),SLV25/ebud-0.10,12,0.10959835783996286,1.1812920077102307,-0.1739426176476616,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,25.0,S5 class + beats own IS ladder,SLV25/ebud-0.10,1,0.10959835783996286,1.1812920077102307,-0.1739426176476616,0.8820107671822842,0.15450717694493266,-0.33717235283398284
