script,gate_id,kind,src,observed,bar,decimals,q,overrun,recovered_by_q
2026-09-04_crypto-sleeve_C.py,0,STRUCTURAL,px.index.equals(pxb.index),,,-1,0.0,,False
2026-09-05_defensive-class-census_B.py,2,CONST,abs(m['Sharpe'] - 1.133) < 0.0005,0.0007848147900475,0.0005,3,0.0005,1.569629580095,True
2026-09-06_does-reach-belong-beside-every-instrument-price,0,ARTEFACT,d < 1e-09,0.0088093618442197,1e-09,-1,0.0,8809361.8442197,False
2026-09-06_does-reach-belong-beside-every-instrument-price,1,ARTEFACT,d < 1e-09,1.7996385470731013e-05,1e-09,-1,0.0,17996.385470731013,False
2026-09-07_census-how-many-band-rows-are-CONCENTRATION-cha,4,ARTEFACT,err < 1e-09,0.000903199363929,1e-09,-1,0.0,903199.363929,False
2026-09-07_census-how-many-band-rows-are-CONCENTRATION-cha,5,SELF,errS < 1e-09,0.000881006780157,1e-09,-1,0.0,881006.780157,False
2026-09-07_census-how-many-band-rows-are-CONCENTRATION-cha,6,SELF,errN < 1e-09,0.000201023280546,1e-09,-1,0.0,201023.280546,False
2026-09-07_does-a-band-on-the-EXIT-ONLY-beat-a-band-on-bot,4,ARTEFACT,"max(ds, dc, dt_, dm, do) < 1e-12",0.0067200326619918,1e-12,-1,0.0,6720032661.9918,False
2026-09-07_does-the-MAB-DD-damage-SCALE-survive-a-fourth-p,7,ARTEFACT,d6 < 1e-09,0.0088648806632063,1e-09,-1,0.0,8864880.663206298,False
2026-09-07_is-DDCTRL-retirable-as-a-family_C.py,0,SELF,worst < 1e-09,0.0080898641039652,1e-09,-1,0.0,8089864.1039652,False
2026-09-07_is-DDCTRL-retirable-as-a-family_C.py,2,CONST,abs(m['CAGR'] - 0.2185) < 0.0005,0.0012477692535747,0.0005,4,5e-05,2.4955385071494,False
2026-09-07_is-DDCTRL-retirable-as-a-family_C.py,5,CONST,abs(m5['CAGR'] - 0.1652) < 0.0005,0.0005012648209128,0.0005,4,5e-05,1.0025296418256,True
2026-09-07_is-a-class-member-just-its-own-ladder-point_B.p,0,CONST,abs(m['Sharpe'] - 1.133) < 0.0005,0.0007848147900475,0.0005,3,0.0005,1.569629580095,True
2026-09-07_is-a-class-member-just-its-own-ladder-point_B2.,0,CONST,abs(m['Sharpe'] - 1.133) < 0.0005,0.0007848147900475,0.0005,3,0.0005,1.569629580095,True
2026-09-07_is-c-star-widening-a-RISK-TIMING-property-recor,8,ARTEFACT,d < 1e-09,0.3897889527066738,1e-09,-1,0.0,389788952.7066738,False
2026-09-07_is-the-U56-6W-m20-cstar-of-104-bps-a-DRAWDOWN-C,1,STRUCTURAL,not bad,,,-1,0.0,,False
2026-09-07_is-the-U56-6W-m20-cstar-of-104-bps-a-DRAWDOWN-C,2,SELF,max(gate_m) < 1e-12,0.0055038816759205,1e-12,-1,0.0,5503881675.9205,False
2026-09-07_is-the-U56-6W-m20-cstar-of-104-bps-a-DRAWDOWN-C,3,ARTEFACT,dmax < 1e-12,0.0100456676892264,1e-12,-1,0.0,10045667689.2264,False
2026-09-07_price-the-MAB-half-width-PAST-the-grid-edge_clo,5,ARTEFACT,d4 < 1e-09,0.0072393033823434,1e-09,-1,0.0,7239303.382343399,False
2026-09-07_price-the-U56-EWALL-MA-band-at-b012-on-its-own_,2,ARTEFACT,err < 1e-09,0.0068737524473319,1e-09,-1,0.0,6873752.4473319,False
2026-09-07_sleeve-f-plateau-width_B.py,1,SELF,R.dS.abs().max() < 1e-09,0.0021563756194267,1e-09,-1,0.0,2156375.6194267,False
2026-09-08_does-the-4b-gross-100-family-survive-a-CASH-CRE,4,ARTEFACT,err < 1e-12,0.008638958114965,1e-12,-1,0.0,8638958114.965,False
2026-09-08_re-quote-every-gross-ceiling-with-its-grid-band,4,STRUCTURAL,ok3b,,,-1,0.0,,False
