panel,restate,rung,gross,family,level,depth,cadence,on_share,mean_mult,arm_MaxDD,ctrl_MaxDD,dMaxDD,arm_Calmar,ctrl_Calmar,dCalmar,BIND,switch_in_episode,struct,CAGR,Sharpe,H1,H2,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,ctrl_Sharpe,ctrl_CAGR,ctrl_OOS_Sharpe,p4a,p4b,fail4b
U56,,0,0.75,NOGATE,,0.0,-,0.0,1.0,-0.15769539333233729,-0.15769539333233729,0.0,0.7153811811203666,0.7153811811203666,0.0,0.0,0.0,True,0.11281231673932823,1.129275887030009,1.1545965919847823,1.109709553850836,1.0530337219209345,0.12201801009066426,1.189612193236939,-0.15769539333233684,1.129275887030009,0.11281231673932823,1.189612193236939,False,True,-
U56,,0,0.75,BREADTH,0.3,0.25,D,0.07002927268633191,0.982492681828417,-0.14564213510484392,-0.15769539333233729,0.012053258227493369,0.7681963364864484,0.7153811811203666,0.05281515536608172,0.25,0.25,False,0.11188175462560546,1.1560839408220096,1.1507789146379523,1.1630906302294717,1.0454395423808611,0.12307356241910217,1.2445780145668912,-0.14564213510484403,1.129275887030009,0.11281231673932823,1.189612193236939,False,True,-
U56,,0,0.75,BREADTH,0.3,0.25,W,0.07363206485025896,0.9815919837874353,-0.15769539333233729,-0.15769539333233729,0.0,0.7133833596829613,0.7153811811203666,-0.001997821437405345,0.0,0.0,True,0.11249726950194883,1.1553419020473372,1.1752985572403152,1.1397241384743844,1.0721739361195353,0.1215984830405672,1.2216111739202173,-0.15769539333233717,1.129275887030009,0.11281231673932823,1.189612193236939,False,True,-
U56,,0,0.75,BREADTH,0.3,0.5,D,0.07002927268633191,0.9649853636568341,-0.13358887687735066,-0.15769539333233729,0.024106516454986626,0.8297791313156585,0.7153811811203666,0.11439795019529186,0.5,0.5,False,0.11084926220872249,1.1737233106958367,1.1390398628465481,1.2072931024553601,1.030202425358554,0.12400020867097039,1.289812510082368,-0.13358887687735044,1.129275887030009,0.11281231673932823,1.189612193236939,False,True,-
U56,,0,0.75,BREADTH,0.3,0.5,W,0.07363206485025896,0.9631839675748706,-0.15769539333233729,-0.15769539333233729,0.0,0.7108520461577553,0.7153811811203666,-0.004529134962611314,0.0,0.0,True,0.112098093019944,1.1738003719291425,1.189895491925495,1.1610736674016833,1.085552290714024,0.12107628551878924,1.2445606558176545,-0.15769539333233729,1.129275887030009,0.11281231673932823,1.189612193236939,False,True,-
U56,,0,0.75,BREADTH,0.3,1.0,D,0.07002927268633191,0.9299707273136681,-0.12700279877868048,-0.15769539333233729,0.030692594553656805,0.8541585746793929,0.7153811811203666,0.1387773935590263,1.0,1.0,False,0.10848052958509147,1.1737944860622957,1.089859921357224,1.2533641457885387,0.9752381785802439,0.12546790257643137,1.3362350603804283,-0.10948236042236359,1.129275887030009,0.11281231673932823,1.189612193236939,False,True,-
U56,,0,0.75,BREADTH,0.3,1.0,W,0.07363206485025896,0.926367935149741,-0.15769539333233729,-0.15769539333233729,0.0,0.704192347420192,0.7153811811203666,-0.01118883370017465,0.0,0.0,True,0.11104788920804909,1.1823936600603597,1.1975770551132492,1.1700020542238543,1.0919141493431206,0.1197248099305932,1.2553720405641415,-0.15769539333233684,1.129275887030009,0.11281231673932823,1.189612193236939,False,True,-
U56,,0,0.75,BREADTH,0.4,0.25,D,0.12339563161450123,0.9691510920963747,-0.14973806615594054,-0.15769539333233729,0.007957327176396745,0.7374801452485015,0.7153811811203666,0.022098964128134835,0.25,0.75,False,0.11042885077791276,1.1645759407566436,1.170941077279458,1.1611354717877038,1.0637181213865465,0.1207587315728218,1.2449684341202871,-0.14973806615594087,1.129275887030009,0.11281231673932823,1.189612193236939,False,True,-
U56,,0,0.75,BREADTH,0.4,0.25,W,0.12384598063499212,0.969038504841252,-0.15769539333233729,-0.15769539333233729,0.0,0.6959692841356793,0.7153811811203666,-0.01941189698468737,0.0,0.0,True,0.10975115000900115,1.14634463442542,1.1482879313318577,1.147650090183915,1.0399678405877062,0.12122297443495778,1.2303276956922926,-0.15769539333233717,1.129275887030009,0.11281231673932823,1.189612193236939,False,True,-
U56,,0,0.75,BREADTH,0.4,0.5,D,0.12339563161450123,0.9383021841927494,-0.14189630955405297,-0.15769539333233729,0.015799083778284317,0.7603288652871423,0.7153811811203666,0.04494768416677564,0.5,1.5,False,0.10788786003166617,1.1863543660582503,1.173856247299631,1.1995848628606427,1.0613988500932425,0.11931455561442883,1.286767131591017,-0.14189630955405308,1.129275887030009,0.11281231673932823,1.189612193236939,False,True,-
U56,,0,0.75,BREADTH,0.4,0.5,W,0.12384598063499212,0.938077009682504,-0.15769539333233706,-0.15769539333233729,2.220446049250313e-16,0.6757842545291046,0.7153811811203666,-0.039596926591262016,0.0,0.0,True,0.10656806382576733,1.1510963776241878,1.1279771890295034,1.1748251463251607,1.013157597039454,0.120292960636595,1.2598050898919846,-0.15769539333233717,1.129275887030009,0.11281231673932823,1.189612193236939,False,True,-
U56,,0,0.75,BREADTH,0.4,1.0,D,0.12339563161450123,0.8766043683854987,-0.1407170688901177,-0.15769539333233729,0.016978324442219583,0.7272704468649358,0.7153811811203666,0.011889265744569166,1.0,3.0,False,0.10233936557323986,1.169970693796732,1.1276924696743376,1.2105317301078975,1.0070047743207353,0.11587728569108591,1.3020893320809437,-0.14071706889011815,1.129275887030009,0.11281231673932823,1.189612193236939,False,False,CAGR
U56,,0,0.75,BREADTH,0.4,1.0,W,0.12384598063499212,0.8761540193650079,-0.15769539333233706,-0.15769539333233729,2.220446049250313e-16,0.6331240734549867,0.7153811811203666,-0.08225710766537997,0.0,0.0,True,0.09984074979165558,1.1132923196939932,1.0387268445760152,1.1831082410888605,0.9128712331084212,0.11802978095707362,1.2709666916633984,-0.15769539333233717,1.129275887030009,0.11281231673932823,1.189612193236939,False,False,CAGR
U56,,0,0.75,BREADTH,0.5,0.25,D,0.16707948660211663,0.9582301283494709,-0.14800979083830934,-0.15769539333233729,0.009685602494027945,0.7306459774519556,0.7153811811203666,0.015264796331588948,0.25,0.75,False,0.10814275829951603,1.159335483511136,1.1666556267841668,1.1552545961629495,1.056415528163093,0.11869001867876405,1.241051479495991,-0.14800979083830923,1.129275887030009,0.11281231673932823,1.189612193236939,False,True,-
