n,leg,obs_up,sim_median,p_monotone,max_dev,q_first_below_half,boot_p10,boot_p90,never_binds
10,4b,4,3.0,0.333,0.14583333333333334,0.0,0.0,0.0,0
10,CAGR,6,5.0,0.3775,0.16666666666666663,0.4,0.2,0.45,0
10,DD,4,5.0,0.872,0.25,0.0,0.0,0.0,0
10,H1,4,4.0,0.727,0.20833333333333337,0.4,0.2,0.45,0
10,H2,6,5.0,0.2685,0.16666666666666669,0.0,0.0,0.05,0
10,OOS,6,6.0,0.5285,0.16666666666666669,0.0,0.0,0.1,0
20,4b,3,3.0,0.663,0.125,0.2,0.1,0.2,0
20,CAGR,4,3.0,0.421,0.14583333333333337,0.2,0.2,0.3,0
20,DD,4,4.0,0.527,0.08333333333333337,0.9,0.75,0.9,0
20,H1,5,4.0,0.469,0.08333333333333337,0.5,0.4,0.5,0
20,H2,7,4.0,0.042,0.16666666666666669,0.2,0.1,0.25,0
20,OOS,6,4.0,0.121,0.16666666666666666,0.4,0.2,0.4,0
