panel,key,mean_IC_fwd,n_dates
broad,VOL,0.38574074592122276,14
broad,MOM,0.10637938182043902,14
broad,R6,-0.011749633319369374,14
broad,R3,-0.03400326338341567,14
broad,PRICE,-0.28257993947775173,14
broad,FROZEN,-0.243179433750858,14
broad,DDTR,-0.1858396705236005,14
broad,REBASED,0.03846860544039006,14
broad,PXTERM,0.4461942708724823,14
broad,FWDRET,1.0,14
small,VOL,-0.00911075442068087,13
small,MOM,-0.10262546410271223,13
small,R6,-0.04889929649494905,13
small,R3,-0.0497564598898277,13
small,PRICE,-0.40650260579570807,13
small,FROZEN,-0.21431239708383382,13
small,DDTR,-0.0751043005219295,13
small,REBASED,-0.18981349798074773,13
small,PXTERM,0.47794072196193127,13
small,FWDRET,1.0,13
small,DVOL,-0.5954947218796381,13
small,VOLSH,-0.4214212542131922,13
