panel,share,rep,offset,dS,dS_IS,dS_OOS,dDD
U56,0.15,0,271,0.03316430475920651,0.03377292128520604,0.03369600460808542,0.0
U56,0.15,0,481,-0.05142746138273835,-0.00542406943728313,-0.08535810567278435,2.220446049250313e-16
U56,0.15,0,191,-0.006847606513608717,0.07144645128805749,-0.0645357861064979,1.1102230246251565e-16
U56,0.15,0,588,-0.06274168742601227,-0.026805652766375587,-0.08878820001300491,1.1102230246251565e-16
U56,0.15,0,872,0.008799027619479594,0.01396902224443064,0.005031891651090081,1.1102230246251565e-16
U56,0.15,0,573,-0.03992424621938673,-0.07623583181198812,-0.01411356404577191,1.1102230246251565e-16
U56,0.15,0,138,0.016304752503329745,-0.033732903102891454,0.054503996658599174,0.030405335527589394
U56,0.15,0,332,0.009371729322533495,0.03750987259612071,-0.011329103132450058,-2.220446049250313e-16
U56,0.15,0,72,-0.049131710438291565,-0.06648864672504395,-0.03687873300663114,0.0
U56,0.15,0,897,0.020235989799400222,-0.007378413565739539,0.0403828718978998,0.05907958028980009
U56,0.15,0,945,-0.04246465697993962,0.03981079501323981,-0.10353327587131789,1.1102230246251565e-16
U56,0.15,0,764,-0.06263048594797516,0.017984708495362378,-0.12090609876381331,1.1102230246251565e-16
U56,0.15,0,341,-0.023081461270512804,-0.04901122878925823,-0.003607189091453078,1.1102230246251565e-16
U56,0.15,0,596,0.0168186376226096,0.008254460908135863,0.022911190687492144,2.220446049250313e-16
U56,0.15,0,502,-0.06379647393437993,-0.06947072435749546,-0.05984081721070056,0.0
U56,0.15,0,133,-0.009818569091209373,-0.03579916872825928,0.010229726252209081,2.220446049250313e-16
U56,0.15,0,960,-0.06628832319948597,-0.09616424160449089,-0.044370493758882246,0.0
U56,0.15,0,917,-0.04401616749594339,-0.026801713127446725,-0.05666492019272318,0.05545175231546129
U56,0.15,0,526,-0.004621287361680215,-0.024043256200808716,0.009362860253748995,2.220446049250313e-16
U56,0.15,0,518,-0.0011908454823952308,0.0313425709760482,-0.02506383336897322,1.1102230246251565e-16
U56,0.15,0,169,-0.042975039174841134,0.07050786847242141,-0.12641406553665413,0.0
U56,0.15,0,122,-0.0541915298315907,0.03583078905155346,-0.120679669711937,-1.1102230246251565e-16
U56,0.15,0,742,0.009303416514394813,-0.011006884949738227,0.023776340412512864,0.04080610328633916
U56,0.15,0,10,-0.020213503403472277,-0.010575592864134453,-0.027354716307335547,2.220446049250313e-16
U56,0.15,0,431,-0.01075275447334545,-0.03727847918258509,0.009697839988618062,0.0408061032863386
U56,0.15,0,51,-0.018612768490432696,-0.08359132109641354,0.031188204080145,-1.1102230246251565e-16
U56,0.15,0,572,-0.027108571706011775,-0.09324954007529873,0.020476144401166962,0.0
U56,0.15,0,337,0.007782389457152039,-0.010607880163917782,0.021924307637444018,2.220446049250313e-16
U56,0.15,0,937,0.00901463074896558,0.04590623203425892,-0.018056073660877248,0.046477395033440394
U56,0.15,0,855,0.02720828514994378,-0.03262187410629758,0.06945765564666773,-2.220446049250313e-16
U56,0.15,0,160,-0.04122622296781042,-0.04179629787720651,-0.04030908980278114,0.044170384652016836
U56,0.15,0,891,0.013747591483925348,-0.012046667773097486,0.03199025467924366,0.008093280729322694
U56,0.15,0,546,-0.04373952046784457,-0.08280198671775574,-0.016009964332994064,-1.1102230246251565e-16
U56,0.15,0,900,-0.022978878201884934,-0.040086555286941716,-0.01049962023631168,0.040806103286338824
U56,0.15,0,823,-0.025618081410795135,-0.06551301853197855,0.0033169094823810585,1.1102230246251565e-16
U56,0.15,0,42,-0.10492392532913541,-0.16129918940850485,-0.06236842712954482,-1.1102230246251565e-16
U56,0.15,0,238,-0.0777029082324685,-0.021916995337002643,-0.11923624190927806,0.039378447714974785
