script,vintage,committed_lines,verbatim_hits,share,first_missing
2026-09-07_does-a-levered-f-060-book-clear-the-CAGR-floor_C,OLD,1523,20,0.0131,"    EXACT subset (all f > 0 rows + EWall f = 0): 40 rows, max|dSharpe| 4.441e-16  max|dCAGR| 3.053e-16  max|dMaxDD| 2.776e-16"
2026-09-07_does-a-levered-f-060-book-clear-the-CAGR-floor_C,TRUNC,1523,20,0.0131,"    EXACT subset (all f > 0 rows + EWall f = 0): 40 rows, max|dSharpe| 4.441e-16  max|dCAGR| 3.053e-16  max|dMaxDD| 2.776e-16"
2026-09-07_does-a-levered-f-060-book-clear-the-CAGR-floor_C,NOW,1523,16,0.0105,"[panel] u56: 56 cols 2008-01-02..2026-09-04, eval from 2009-01-13"
2026-09-07_does-the-MAB-DD-damage-SCALE-survive-a-fourth-panel_cloud,OLD,242,120,0.4959,     U56  NT  5.0000       -0.1831    84.4051   0.0236    0.2116  -3.7755  0.0000 -0.1746  1.0871
2026-09-07_does-the-MAB-DD-damage-SCALE-survive-a-fourth-panel_cloud,TRUNC,242,120,0.4959,     U56  NT  5.0000       -0.1831    84.4051   0.0236    0.2116  -3.7755  0.0000 -0.1746  1.0871
2026-09-07_does-the-MAB-DD-damage-SCALE-survive-a-fourth-panel_cloud,NOW,242,116,0.4793,    U56            56 cols  2008-01-02 -> 2026-09-04  (4699 rows)
2026-09-07_is-the-U56-6W-m20-cstar-of-104-bps-a-DRAWDOWN-CAP-artefact_C,OLD,198,71,0.3586,"      margins m_k(c) vs committed m4b_* at c=0/10/25, 540 values: max|d| 2.151e-16"
2026-09-07_is-the-U56-6W-m20-cstar-of-104-bps-a-DRAWDOWN-CAP-artefact_C,TRUNC,198,69,0.3485,          D   0    27.05 |        8       16       17       26       11 |          8          8          8          8 | H1           8
2026-09-07_is-the-U56-6W-m20-cstar-of-104-bps-a-DRAWDOWN-CAP-artefact_C,NOW,198,58,0.2929,"  ---- U56: 55 names + SPY, eval from 2009-01-13 (4439 days)"
2026-09-08_is-168c-s-k-CROSSING-a-SMOOTHING-artefact-end-to-end_cloud,OLD,338,334,0.9882,      176 books done (24s cum.)
2026-09-08_is-168c-s-k-CROSSING-a-SMOOTHING-artefact-end-to-end_cloud,TRUNC,338,315,0.932,      176 books done (24s cum.)
2026-09-08_is-168c-s-k-CROSSING-a-SMOOTHING-artefact-end-to-end_cloud,NOW,338,119,0.3521,"  [panel] u56 = universe.json(56): 56 cols, eval 2009-01-13 -> 2026-09-04, mean weekly eligible 37.5"
