corpus,cost_bps,dial,group,n_books,full_mode,full_share,distinct,share_mean,share_sd,d_mean,d_median,d_sd,win,dmargin_mean,mode_stable,published,dfix_mean,dfix_sd,switch_rate,n_draws
A,5,GROSS,ALL,53,1.0,0.9433962264150944,3,0.9433760683760684,0.03681550831845631,-0.00012562543834537422,-0.00012431426137580066,0.00011435554065848708,0.1375,0.006709694979941105,1.0,False,-0.00012562543834537422,0.00011435554065848708,0.0,80
A,5,GROSS,B136,48,1.0,0.9583333333333334,3,0.9583333333333333,0.02871676823352131,-0.0001457626082867642,-0.0001457626082867642,0.00011830355290873108,0.0,0.01438755806143921,1.0,False,-0.0001457626082867642,0.00011830355290873108,0.0,80
A,5,GROSS,B136k20,16,1.0,0.9375,2,0.9375,0.0625,-8.930167383845028e-05,-8.930167383845028e-05,8.930167383845028e-05,0.0,0.013561463685415682,1.0,False,-8.930167383845028e-05,8.930167383845028e-05,0.0,80
A,5,GROSS,B136k40,16,1.0,0.9375,2,0.9375,0.0625,-0.0003479861510218424,-0.0003479861510218424,0.00034798615102184244,0.0,0.029601210498901943,1.0,False,-0.0003479861510218424,0.00034798615102184244,0.0,80
A,5,GROSS,B136k80,16,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0.0,80
A,5,N,ALL,53,20,0.20754716981132076,9,0.22918447293447297,0.03455847043272493,-0.007434196024472373,0.006866933303779427,0.04692428055265381,0.575,0.022101091874614703,0.05,False,0.02736172575664606,0.01457882643361844,0.55,80
A,5,N,B136,48,20,0.1875,9,0.228125,0.03606935352745997,-0.01860411708772565,-0.007379633013849222,0.05396162380492319,0.4625,0.021409651979474104,0.0,False,0.028482048043007614,0.01657963484633089,0.7125,80
A,5,N,B136k20,16,15,0.4375,4,0.475,0.1034559084827928,0.027665947042003813,0.031016340323099065,0.03340628691334064,0.85,0.03637600418525712,0.5,False,0.03528209573567311,0.023378580945699938,0.25,80
A,5,N,B136k40,16,8,0.3125,6,0.3546875,0.08014574127020099,-0.040800896550076814,-0.0638771510474901,0.07096026517506898,0.15,-0.025096198422398942,0.5,False,-0.06792655835005108,0.025353387747246894,0.25,80
A,5,N,B136k80,16,10,0.1875,9,0.278125,0.05581428468591173,-0.02661028595434105,-0.08495038546670514,0.13089151296534618,0.325,-0.028030393819632394,0.0,False,-0.061106810227662865,0.032056865067912645,0.7,80
A,5,BAND,ALL,53,0.08,0.7547169811320755,5,0.7546652421652421,0.08402535338868893,-0.0012582926675590693,-0.0012642574204666827,0.003069409104639366,0.35,0.002864320345282024,1.0,False,-0.0012582926675590693,0.003069409104639366,0.0,80
A,5,BAND,B136,48,0.08,0.7708333333333334,5,0.7708333333333334,0.0638737904864829,-0.0016632926510690726,-0.0016632926510690726,0.0038708886861709498,0.375,0.003944985967056765,1.0,False,-0.0016632926510690726,0.0038708886861709498,0.0,80
A,5,BAND,B136k20,16,0.08,0.6875,4,0.6875,0.1152443057161611,-0.004421300884027937,-0.004421300884027937,0.011528398762018891,0.4,0.0071395026305587335,1.0,False,-0.004421300884027937,0.011528398762018891,0.0,80
A,5,BAND,B136k40,16,0.08,0.8125,4,0.8125,0.10077822185373188,-0.0035526415839536585,-0.0035526415839536585,0.0044766103174382595,0.2625,0.0018802462329199452,1.0,False,-0.0035526415839536585,0.0044766103174382595,0.0,80
A,5,BAND,B136k80,16,0.08,0.8125,4,0.8125,0.10077822185373188,0.0029840645147743775,0.0029840645147743775,0.002084561675433552,0.9,0.0028152090376916184,1.0,False,0.0029840645147743775,0.002084561675433552,0.0,80
A,5,BAND+,ALL,53,0.12,0.3018867924528302,8,0.324537037037037,0.038660700319450333,0.005203436478454946,0.008881218829261572,0.0101291799890616,0.725,0.005460804271082747,0.325,False,0.011275308016841453,0.0036963019134247897,0.35,80
A,5,BAND+,B136,48,0.12,0.3333333333333333,8,0.3411458333333333,0.05709008095764097,0.009592310891646718,0.011553281878227378,0.007244275678573047,0.875,0.00872775070495752,0.575,False,0.012097088568282299,0.004412102392234571,0.2125,80
A,5,BAND+,B136k20,16,0.12,0.3125,6,0.334375,0.0878897569401577,0.017107089247091697,0.015593384761425716,0.014304943659218262,0.9,0.009141056696963707,0.025,False,0.009437595795713558,0.012804750312911404,0.5125,80
A,5,BAND+,B136k40,16,0.08,0.3125,5,0.38125,0.07880950133074056,-0.00199741006203359,-0.0022115899127028715,0.009852899026925713,0.3375,0.0011046632593848707,0.3,False,-0.004440235321071642,0.006579849507647204,0.35,80
A,5,BAND+,B136k80,16,0.12,0.5,4,0.5453125,0.11733324270533906,0.00817125221545012,0.010956955468636578,0.00937090483262387,0.825,0.002185672881578311,0.65,False,0.010956955468636578,0.004333167071870639,0.175,80
A,5,CADENCE,ALL,53,M,0.7358490566037735,4,0.736039886039886,0.06713521215839469,0.03141473870534832,0.03141732056296888,0.010034863864577654,1.0,0.031521098384387186,1.0,False,0.03141473870534832,0.010034863864577654,0.0,80
A,5,CADENCE,B136,48,M,0.7083333333333334,4,0.7083333333333334,0.06454972243679029,0.03469781050985925,0.03469781050985925,0.010202114498919595,1.0,0.03477862299241451,1.0,False,0.03469781050985925,0.010202114498919595,0.0,80
