panel,chooser,c,G,fallback,oCAGR,oSharpe,oMaxDD,keep4b_oos,keep4a_oos,oleg_H1,oleg_H2,oleg_DD,oleg_CAGR
U56,C_SHARPE,0.1,1.0,False,0.121440386476652,1.1940003173604503,-0.16295337966879642,True,False,True,True,True,True
U56,C_MEMO,0.1,1.0,False,0.121440386476652,1.1940003173604503,-0.16295337966879642,True,False,True,True,True,True
U56,C_CAGR,0.1,1.0,False,0.121440386476652,1.1940003173604503,-0.16295337966879642,True,False,True,True,True,True
U56,C_ANCHOR,0.03,0.75,False,0.0945517936976279,1.2768823974588255,-0.12054956914840875,False,False,True,True,True,False
ETF36,C_SHARPE,0.15,1.0,False,0.05744388077574736,0.7662788851729375,-0.12009420865419906,False,False,False,False,True,False
ETF36,C_MEMO,0.03,0.75,True,0.053728881617677526,0.9109449814423659,-0.10485855038228775,False,False,True,False,True,False
ETF36,C_CAGR,0.1,1.0,False,0.0646987693939951,0.8402843313510172,-0.12644947479208601,False,False,False,False,True,False
ETF36,C_ANCHOR,0.03,0.75,False,0.053728881617677526,0.9109449814423659,-0.10485855038228775,False,False,True,False,True,False
STK20,C_SHARPE,0.1,1.0,False,0.22925068384195457,1.3713718269919533,-0.22924289930192654,False,False,True,True,False,True
STK20,C_MEMO,0.0,0.75,False,0.16437481171733093,1.4206248245852917,-0.165503877259214,True,False,True,True,True,True
STK20,C_CAGR,0.1,1.0,False,0.22925068384195457,1.3713718269919533,-0.22924289930192654,False,False,True,True,False,True
STK20,C_ANCHOR,0.03,0.75,False,0.17137466388379696,1.4616732435537203,-0.15616905000644776,True,False,True,True,True,True
R20x00,C_SHARPE,0.15,1.0,False,0.06897099069070545,0.7928980495636327,-0.13780129797353036,False,False,False,False,True,False
R20x00,C_MEMO,0.03,0.75,True,0.06466059297280613,0.9653747560909628,-0.11412909953768313,False,False,True,True,True,False
R20x00,C_CAGR,0.15,0.75,False,0.05202762884689571,0.792562908387724,-0.10446656904249985,False,False,False,False,True,False
R20x00,C_ANCHOR,0.03,0.75,False,0.06466059297280613,0.9653747560909628,-0.11412909953768313,False,False,True,True,True,False
R20x01,C_SHARPE,0.15,1.0,False,0.05391856981858134,0.7105909387478966,-0.1334221555328693,False,False,False,False,True,False
R20x01,C_MEMO,0.03,0.75,True,0.050571869541635284,0.8663712791429363,-0.11139238361993653,False,False,True,False,True,False
R20x01,C_CAGR,0.15,1.0,False,0.05391856981858134,0.7105909387478966,-0.1334221555328693,False,False,False,False,True,False
R20x01,C_ANCHOR,0.03,0.75,False,0.050571869541635284,0.8663712791429363,-0.11139238361993653,False,False,True,False,True,False
R20x02,C_SHARPE,0.03,1.0,False,0.07563943146289676,0.8370718352541279,-0.16046387496623038,False,False,True,False,True,False
R20x02,C_MEMO,0.03,0.75,True,0.057097629531829064,0.8382502478095225,-0.12154575406333323,False,False,True,False,True,False
R20x02,C_CAGR,0.03,1.0,False,0.07563943146289676,0.8370718352541279,-0.16046387496623038,False,False,True,False,True,False
R20x02,C_ANCHOR,0.03,0.75,False,0.057097629531829064,0.8382502478095225,-0.12154575406333323,False,False,True,False,True,False
R20x03,C_SHARPE,0.1,1.0,False,0.059958259489258925,0.7407506826001731,-0.12635074565759563,False,False,False,False,True,False
R20x03,C_MEMO,0.03,0.75,True,0.05478898907645546,0.8696231921308437,-0.10218121968028104,False,False,True,False,True,False
R20x03,C_CAGR,0.1,1.0,False,0.059958259489258925,0.7407506826001731,-0.12635074565759563,False,False,False,False,True,False
R20x03,C_ANCHOR,0.03,0.75,False,0.05478898907645546,0.8696231921308437,-0.10218121968028104,False,False,True,False,True,False
R20x04,C_SHARPE,0.1,1.0,False,0.06827312929306562,0.8374081281365694,-0.12863432040824951,False,False,False,False,True,False
R20x04,C_MEMO,0.03,0.75,True,0.05907099277882866,0.9312898427477505,-0.1110878305332742,False,False,True,True,True,False
R20x04,C_CAGR,0.05,1.0,False,0.0714676686315181,0.8518257342605591,-0.1441503840285584,False,False,True,False,True,False
R20x04,C_ANCHOR,0.03,0.75,False,0.05907099277882866,0.9312898427477505,-0.1110878305332742,False,False,True,True,True,False
R20x05,C_SHARPE,0.1,1.0,False,0.058429899091839266,0.7753301033508091,-0.1228060874515059,False,False,False,False,True,False
R20x05,C_MEMO,0.03,0.75,True,0.04847597664542236,0.8341215687741755,-0.10045565575639248,False,False,True,False,True,False
R20x05,C_CAGR,0.1,1.0,False,0.058429899091839266,0.7753301033508091,-0.1228060874515059,False,False,False,False,True,False
R20x05,C_ANCHOR,0.03,0.75,False,0.04847597664542236,0.8341215687741755,-0.10045565575639248,False,False,True,False,True,False
R20x06,C_SHARPE,0.1,1.0,False,0.06622308208587158,0.8493129752436895,-0.11911451621665003,False,False,True,False,True,False
R20x06,C_MEMO,0.03,0.75,True,0.055487500907162035,0.9088267771707921,-0.0975177903918013,False,False,True,False,True,False
