panel,chooser,pick,O_CAGR,O_Sharpe,O_MaxDD,O_keep4a,O_keep4b,O_tw_Sharpe,O_tw_MaxDD,O_dSharpe,spy_O_CAGR,spy_O_Sharpe,spy_O_MaxDD,live_O_Sharpe,live_O_MaxDD,leg_DD,leg_CAGR,leg_H1,leg_H2
U56,C_SHARPE,N=20 c=0.10 draw=9 (IS S 1.3472),0.09233484542897585,1.1649054896086057,-0.1106051334851903,False,False,1.1264448730344843,-0.13498938115345238,0.038460616574121476,0.1525745335844091,0.8738401470547136,-0.33717289200673783,1.2768823974588255,-0.12054956914840886,True,False,True,True
U56,C_TRANCHE,N=20 c=0.10 TRANCHE (IS S 1.1545),0.08997607776690986,1.1854090049350074,-0.12467116021879687,False,False,1.1183555679262072,-0.16137466168834336,0.06705343700880029,0.1525745335844091,0.8738401470547136,-0.33717289200673783,1.2768823974588255,-0.12054956914840886,True,False,True,True
U56,C_LIVE,N=ALL(56) c=0.03 (inheritance),0.0945517936976279,1.2768823974588255,-0.12054956914840875,False,False,1.1269434315419713,-0.16254925130861153,0.14993896591685418,0.1525745335844091,0.8738401470547136,-0.33717289200673783,1.2768823974588255,-0.12054956914840886,True,False,True,True
B136,C_SHARPE,N=20 c=0.03 draw=16 (IS S 1.5332),0.06228878057260312,0.9108650966443906,-0.11360468848853567,False,False,0.9700723704219776,-0.1547712389936735,-0.059207273777586944,0.15257181383948715,0.8738511437360154,-0.3371595330739301,1.1019125044197382,-0.12241069123223403,True,False,True,False
B136,C_TRANCHE,N=56 c=0.10 TRANCHE (IS S 1.1604),0.08074869013583674,1.0789952236138034,-0.14393854952498475,False,False,1.0881879481647927,-0.18782056374816247,-0.009192724550989295,0.15257181383948715,0.8738511437360154,-0.3371595330739301,1.1019125044197382,-0.12241069123223403,True,False,True,True
B136,C_LIVE,N=ALL(136) c=0.03 (inheritance),0.07847283605551292,1.1019125044197382,-0.12241069123223425,False,False,1.088287900663192,-0.1866595740613527,0.013624603756546172,0.15257181383948715,0.8738511437360154,-0.3371595330739301,1.1019125044197382,-0.12241069123223403,True,False,True,True
SMALL,C_SHARPE,N=20 c=0.00 draw=16 (IS S 1.4244),0.017478845243101393,0.24104359425964114,-0.22353871459887587,False,False,0.43085639418084254,-0.2693067287052018,-0.1898127999212014,0.1525745335844091,0.8738401470547136,-0.33717289200673783,0.6473415936678043,-0.12480015905893527,False,False,False,False
SMALL,C_TRANCHE,N=20 c=0.10 TRANCHE (IS S 1.0511),0.04077306160801397,0.5797358439944591,-0.15841926283099195,False,False,0.5900047091623646,-0.24533204262441666,-0.010268865167905483,0.1525745335844091,0.8738401470547136,-0.33717289200673783,0.6473415936678043,-0.12480015905893527,True,False,True,False
SMALL,C_LIVE,N=ALL(665) c=0.03 (inheritance),0.036280008883579296,0.5447740088754679,-0.14161687822607505,False,False,0.5967322335585301,-0.22460944377153436,-0.051958224683062215,0.1525745335844091,0.8738401470547136,-0.33717289200673783,0.6473415936678043,-0.12480015905893527,True,False,False,False
