panel,H,P_monotone,P_argmax_5,mean_violations,observed_monotone,argmax_set_90
B136,21,0.0,1.0,1.949,False,{5}
B136,42,0.0055,1.0,1.404,False,{5}
B136,52,0.002,1.0,1.8995,False,{5}
B136,63,0.9445,1.0,0.0565,True,{5}
B136,76,0.0385,1.0,1.463,False,{5}
B136,90,0.0005,1.0,1.818,False,{5}
B136,126,0.0,0.0,2.005,False,{10}
U56,21,0.0,0.0005,3.0025,False,{12}
U56,42,0.0715,0.984,1.058,False,{5}
U56,52,0.003,0.7285,1.478,False,"{5,8}"
U56,63,0.0,0.0025,2.009,False,{8}
U56,76,0.4055,1.0,0.7505,True,{5}
U56,90,0.0,0.7865,1.24,False,"{5,10}"
U56,126,0.002,0.097,2.38,False,"{5,12}"
