panel,family,reading,B,frac_defined,q_p05,q_p50,q_p95,q_point
u56,LIN,R1,400,0.9875,0.8170339641248842,0.8744556052099591,0.9589195162007593,0.8933292057903144
u56,LIN,R2,400,0.99,0.8199373330117923,0.8757350685608232,0.9582806646759918,0.8942579872247941
u56,LOG,R1,400,0.1975,0.833063943124235,0.9312491719860391,0.9900497202723325,
u56,LOG,R2,400,0.19,0.8402770639637429,0.9353817293445561,0.9949129822008714,
u56,POW,R1,400,0.0,,,,
u56,POW,R2,400,0.0,,,,
broad,LIN,R1,400,0.9975,0.7976268617028996,0.8448552744537787,0.9113522231833381,0.8388173884766089
broad,LIN,R2,400,0.9975,0.8044607345768628,0.8491520675883052,0.9119365748710574,0.8440522937116752
broad,LOG,R1,400,0.6175,0.7688705830422972,0.8938473694818145,0.9889732254640927,0.949689056921374
broad,LOG,R2,400,0.565,0.7924419846588594,0.9094323293690193,0.9885743625366247,0.9708425010177751
broad,POW,R1,400,0.0,,,,
broad,POW,R2,400,0.0,,,,
small,LIN,R1,400,0.9575,0.7945817079205876,0.8608765320986803,0.9571405938753883,0.8773574558437404
small,LIN,R2,400,0.9575,0.8040096464863994,0.868837585501335,0.9564915194714444,0.8861599180507356
small,LOG,R1,400,0.6825,0.6822650317532909,0.8399306859702038,0.9756892356561905,0.9097416578731932
small,LOG,R2,400,0.595,0.7178438441767766,0.8625106914664374,0.9799177282504474,0.96581760818931
small,POW,R1,400,0.0,,,,
small,POW,R2,400,0.0,,,,
