claim_set,n28_rescorable_R_UNION,n28_rescorable_R_UNION_G,n_rescorable_R_UNION,n_rescorable_R_UNION_G,share_rescorable_R_UNION,share_rescorable_R_UNION_G
NARROW,1.0,1.0,3.0,3.0,0.0508474576271186,0.0508474576271186
PROX,9.0,5.0,12.0,7.0,0.096,0.056
WIDE,9.0,5.0,291.0,238.0,0.139367816091954,0.1139846743295019
