panel,gross,rate,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,pass_4b_oos
u56,1.125,0.0,0.14286549125733372,1.2756096683629192,-0.17808497433303627,True
u56,1.125,0.02,0.14001332360586427,1.252762450676385,-0.1782170696351203,True
u56,1.125,0.04,0.1371682457282073,1.2299152329898504,-0.17834914503465293,True
u56,1.25,0.0,0.15908283822140867,1.2751547843737416,-0.19685755487152412,True
u56,1.25,0.02,0.15330503797377104,1.2340464272270801,-0.19711608095060118,True
u56,1.25,0.04,0.14755592519578764,1.1929380700804195,-0.19737452901472452,True
u56,1.375,0.0,0.1753467493656793,1.2746511092583461,-0.2154278551449903,False
u56,1.375,0.02,0.16656978677625256,1.2186176163512816,-0.21580722971778843,False
u56,1.375,0.04,0.157858108436719,1.1625841234442165,-0.21618643231546275,False
u56,1.5,0.0,0.19165137722522307,1.274103247333011,-0.23379495354413093,False
u56,1.5,0.02,0.17980171603832074,1.2056472761273307,-0.23428967711095738,False
u56,1.5,0.04,0.16806942369663758,1.1371913049216498,-0.2347841012154518,False
b136,1.125,0.0,0.11785329725191551,1.1000176494627798,-0.18085931479357664,True
b136,1.125,0.02,0.11506330959603606,1.0765375495239675,-0.18099099251303263,True
b136,1.125,0.04,0.11228025774964845,1.0530574495851555,-0.18112265038859598,True
b136,1.25,0.0,0.1309648077057044,1.09937911839326,-0.19993374823726218,True
b136,1.25,0.02,0.12532663101360964,1.0571388283264052,-0.20019134696843,True
b136,1.25,0.04,0.11971645122186958,1.0148985382595508,-0.20044886794554928,True
b136,1.375,0.0,0.14405864717484862,1.0986983224484383,-0.21880271319809597,False
b136,1.375,0.02,0.13551443471933333,1.0411312793580145,-0.21918055946620751,False
b136,1.375,0.04,0.12703378194818105,0.9835642362675898,-0.21955823440510291,False
b136,1.5,0.0,0.1571289622550105,1.0979774310418273,-0.23746586354817178,False
b136,1.5,0.02,0.14562127818877513,1.0276594397743029,-0.23795836728770814,False
b136,1.5,0.04,0.13422758872574425,0.9573414485067789,-0.23845057281767246,False
