test,arm,pick,isSharpe,oSharpe,oCAGR,oMaxDD,vs_SPY,vs_RULESv2,vs_ctrl,vs_ctrl_CAGR_pp,best_oSharpe_in_arm,regret,IS_pick,OOS_of_pick,OOS_best_cad,OOS_best,agree,always_D,always_W,always_M,always_Q,always_A,family,cad,mean_is,mean_oos,MAE_vs_zero,MAE_vs_IS_cell,MAE_vs_IS_const,zero_wins,sign_agree
WF-A,MA-THRESH/RESPREAD,"theta=+0.30,cad=M",0.8874006931164304,1.1041600612175628,0.24022985785064388,-0.3077804460589927,0.22214956016705478,-0.1809247496840829,0.48067234484139487,14.314922250440665,1.1041600612175628,0.0,,,,,,,,,,,,,,,,,,,
WF-A,MA-THRESH/DEGROSS,"theta=-0.40,cad=Q",0.7368408498827737,0.5874263980687731,0.07975352536349556,-0.3246766886644833,-0.294584102981735,-0.6976584128328727,-0.05929497907791548,-2.1844959095371985,0.8347821385717549,0.2473557405029818,,,,,,,,,,,,,,,,,,,
WF-A,QUANTILE-M/RESPREAD,"theta=-0.12,cad=Q",0.7192034473130972,0.630666654070711,0.09351835230738037,-0.3483239520605923,-0.25134384697979706,-0.6544181568309347,-0.01605472307597755,-0.8080132151487174,0.7867801427184503,0.15611348864773933,,,,,,,,,,,,,,,,,,,
WF-A,QUANTILE-M/DEGROSS,"theta=-0.12,cad=Q",0.7213779117886006,0.6364559184268215,0.070284119437932,-0.2542594664480021,-0.24555458262368657,-0.6486288924748242,-0.01026545871986706,-3.131436502093554,0.7815646353375331,0.1451087169107116,,,,,,,,,,,,,,,,,,,
WF-B,MA-THRESH/RESPREAD,,,,,,,,,,,,M,1.1041600612175628,M,1.1041600612175628,True,0.8097618617236972,1.0430698252814352,1.1041600612175628,0.9013113637198122,0.6735788793888106,,,,,,,,,
WF-B,MA-THRESH/DEGROSS,,,,,,,,,,,,Q,0.6325051784420531,M,0.8347821385717549,False,0.7200680287350759,0.8116541694807551,0.8347821385717549,0.6325051784420531,0.5999415137410952,,,,,,,,,
WF-B,QUANTILE-M/RESPREAD,,,,,,,,,,,,Q,0.6582398224735473,M,0.7867801427184503,False,0.6856547054557404,0.7829601788832949,0.7867801427184503,0.6582398224735473,0.6979869100348225,,,,,,,,,
WF-B,QUANTILE-M/DEGROSS,,,,,,,,,,,,Q,0.6682927160052041,M,0.7815646353375331,False,0.6820091479434127,0.7786958788255803,0.7815646353375331,0.6682927160052041,0.6439487811891454,,,,,,,,,
WF-C,,,,,,,,,,,,,,,,,,,,,,,MA-THRESH,D,0.04419385551573334,-0.16628816045741107,0.2055230807410313,0.29784074977969893,0.23007522269421646,True,4.0
WF-C,,,,,,,,,,,,,,,,,,,,,,,MA-THRESH,W,0.030969519061605253,-0.36721943605926033,0.36721943605926033,0.39818895512086555,0.39818895512086555,True,4.0
WF-C,,,,,,,,,,,,,,,,,,,,,,,MA-THRESH,M,0.1137659786280418,-0.45074753497984,0.4680594114459324,0.6379425489103272,0.5645135136078818,True,2.0
WF-C,,,,,,,,,,,,,,,,,,,,,,,MA-THRESH,Q,-0.20499833848083415,-0.9572865018707812,0.9572865018707812,0.7535493204767441,0.752288163389947,False,6.0
WF-C,,,,,,,,,,,,,,,,,,,,,,,MA-THRESH,A,-0.5987661707705801,0.18118282410454334,0.18695431173227423,0.7881080645885328,0.7799489948751236,True,1.0
WF-C,,,,,,,,,,,,,,,,,,,,,,,QUANTILE-M,D,0.00053427898742717,-0.0006588486912040281,0.0020482386290352236,0.005697838391401551,0.0022688286123974098,True,5.0
WF-C,,,,,,,,,,,,,,,,,,,,,,,QUANTILE-M,W,-0.015447713617149757,-0.00528926982756111,0.006340161394321007,0.012977298826366557,0.010158443789588646,True,5.0
WF-C,,,,,,,,,,,,,,,,,,,,,,,QUANTILE-M,M,-0.05883685556147267,-0.02679662561862184,0.02679662561862184,0.03204022994285083,0.03204022994285083,True,9.0
WF-C,,,,,,,,,,,,,,,,,,,,,,,QUANTILE-M,Q,-0.023706913741058006,0.03159061020657629,0.03159061020657629,0.05529752394763429,0.05529752394763429,True,1.0
WF-C,,,,,,,,,,,,,,,,,,,,,,,QUANTILE-M,A,-0.050814585067447834,-0.1700118102505957,0.1700118102505957,0.11919722518314785,0.11939968767728784,False,9.0
