panel,K,sat_ceil_share,sat_floor_share,distinct_PCT,distinct_Z,tied_at_max_PCT,tied_at_max_Z,n_books
U56,10,0.9125,0.0,1.75,12.0,10.95,1.0,12
U56,25,0.8291666666666667,0.0,2.35,12.0,9.95,1.0,12
U56,50,0.7291666666666666,0.0,3.4,12.0,8.75,1.0,12
U56,100,0.6291666666666667,0.0,4.4,12.0,7.55,1.0,12
U56,200,0.5791666666666667,0.0,5.25,12.0,6.95,1.0,12
U56,400,0.5,0.0,5.0,12.0,6.0,1.0,12
B136,10,0.9666666666666667,0.0,1.4,12.0,11.6,1.0,12
B136,25,0.8916666666666667,0.0,1.85,12.0,10.7,1.0,12
B136,50,0.8416666666666667,0.0,2.4,12.0,10.1,1.0,12
B136,100,0.7625,0.0,3.0,12.0,9.15,1.0,12
B136,200,0.6833333333333333,0.0,3.95,12.0,8.2,1.0,12
B136,400,0.5833333333333334,0.0,5.0,12.0,7.0,1.0,12
SMALL,10,0.36666666666666664,0.0,6.35,12.0,4.4,1.0,12
SMALL,25,0.275,0.004166666666666667,8.45,12.0,3.3,1.0,12
SMALL,50,0.17083333333333334,0.0,9.25,12.0,2.2,1.0,12
SMALL,100,0.07916666666666666,0.0,10.35,12.0,2.0,1.0,12
SMALL,200,0.020833333333333332,0.0,11.35,12.0,1.0,1.0,12
SMALL,400,0.0,0.0,12.0,12.0,1.0,1.0,12
