key,chooser,moves,n,meanOOS,meanDD,n4a,n4bo,n4b_both,agree_with_RAW
K_RAW,CH_D2,23,24,0.8345401015583503,-0.28572456209208,0,1,1,0.6666666666666666
K_RAW,CH_NULLSD,24,24,0.826533004112755,-0.2885785527257088,0,3,2,0.5416666666666666
K_RAW,CH_POOLMEAN,23,24,0.822573370431436,-0.29451072112167126,0,1,1,1.0
K_RAW,CH_RAW,23,24,0.822573370431436,-0.29451072112167126,0,1,1,1.0
K_RAW,CH_TURNOVER,23,24,0.822573370431436,-0.29451072112167126,0,1,1,1.0
K_RAW,C_ANCHOR,0,24,0.8574835989127739,-0.28415223505525805,0,2,2,0.041666666666666664
K_VOL20,CH_D2,23,24,0.7364771241981058,-0.27483867799480804,0,4,4,0.9583333333333334
K_VOL20,CH_NULLSD,24,24,0.7391908046712664,-0.27363883894033997,0,4,4,0.5833333333333334
K_VOL20,CH_POOLMEAN,23,24,0.7344753750342453,-0.2758643033379344,0,3,3,1.0
K_VOL20,CH_RAW,23,24,0.7344753750342453,-0.2758643033379344,0,3,3,1.0
K_VOL20,CH_TURNOVER,23,24,0.7345977102330629,-0.27658280254118606,0,3,3,0.9583333333333334
K_VOL20,C_ANCHOR,0,24,0.7522767643676908,-0.2594099734915118,0,7,7,0.041666666666666664
