panel,k,family,draw,CAGR,Sharpe,MaxDD,H1,H2,IS_Sharpe,IS_CAGR,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,p4a,p4b,IS_p4b,OOS_p4b_leg
U56,12,BAND,0,0.10032442139061959,1.038116985958798,-0.14399301131416697,1.003280098773172,1.0717765519384996,0.8723131957549328,0.08132535983146094,0.11623472129775858,1.1703560350987703,-0.13225634899416328,False,False,False,True
U56,12,TOP10,0,0.09679869432011401,0.9712137424467552,-0.14027465242438408,0.9986268441536802,0.9511378696468448,0.8522843961805505,0.08011127868195311,0.11074661196153057,1.0628578743217305,-0.11807992924754596,False,False,False,True
U56,12,EWALL,0,0.16143957258460273,1.0376372756815837,-0.2670316960434086,1.1005934585340502,0.9903072616657345,1.0115603260629975,0.14962429755886797,0.17126931304228443,1.0587769714818294,-0.2670316960434084,False,False,False,False
U56,12,BAND,1,0.08961523126401438,0.9314469920670367,-0.17583808434783288,0.9765211445626436,0.8884814522895672,0.8281620707511681,0.0790751618161678,0.09838002694643566,1.0171038958126253,-0.17583808434783277,False,False,False,False
U56,12,TOP10,1,0.08828253320225032,0.9083962337259235,-0.15963807311137557,0.817955292689427,0.9954646099559292,0.649971087569715,0.061086628539484655,0.1112214597079757,1.1223708315997134,-0.1508796390943853,False,False,False,True
U56,12,EWALL,1,0.15946433827106454,1.0338257801155148,-0.28633270808105926,1.1418802018152248,0.93306972901742,1.0567086403765018,0.16501436855933527,0.15490971977789814,1.0145138180873114,-0.2863327080810595,False,False,False,False
U56,12,BAND,2,0.10893065592241769,1.1902620957216516,-0.11898193922112388,1.1857213641129547,1.1974504331703377,1.0968227845632113,0.09507928417984246,0.12047899035727028,1.2627813647918384,-0.1189819392211241,False,True,False,True
U56,12,TOP10,2,0.11067266926606378,1.1631297683817121,-0.12632628829932024,1.008281457210699,1.3102356170811271,0.9338812256408049,0.08579777572676206,0.13160315279194434,1.347507036003306,-0.12632628829932024,False,True,False,True
U56,12,EWALL,2,0.15816906340408265,1.1054934538436936,-0.24530185125835513,1.0827952420817104,1.1283421101593314,1.0167517222862201,0.14137184440071326,0.1721995180700424,1.1765232064465352,-0.2453018512583548,False,False,False,False
U56,12,BAND,3,0.09364405108187679,1.089027227114689,-0.12560583234084255,1.1784566187258456,1.0173508265539841,1.024754834653604,0.08334744290603147,0.10220435639558567,1.139177301485547,-0.12560583234084288,False,False,False,False
U56,12,TOP10,3,0.0912670340115016,0.9627849260894932,-0.16825374156675743,1.0726902046104745,0.871211293611783,0.8939215061393642,0.0802397303951301,0.10044064625544724,1.0162691754344444,-0.16825374156675776,False,False,False,False
U56,12,EWALL,3,0.1434559573495633,1.113107238852575,-0.21789876960034238,1.237695520327038,1.0106095825349537,1.1275748807964245,0.13996886532302732,0.14633814091750263,1.1029295719248815,-0.21789876960034205,False,False,False,False
