sclass,repair,n_resolvable,n_comparable,n_lands,n_serves,rate,majority
LEVEL,R_ASIS,24,0,4,0,0.0,False
LEVEL,R_FROZEN,24,24,10,10,0.4166666666666667,False
LEVEL,R_COUNT,24,3,24,3,0.125,False
LEVEL,R_BOTH,24,24,9,9,0.375,False
SPREAD,R_ASIS,14,0,0,0,0.0,False
SPREAD,R_FROZEN,14,14,5,5,0.35714285714285715,False
SPREAD,R_COUNT,14,0,14,0,0.0,False
SPREAD,R_BOTH,14,14,6,6,0.42857142857142855,False
RATIO,R_ASIS,20,0,0,0,0.0,False
RATIO,R_FROZEN,20,20,9,9,0.45,False
RATIO,R_COUNT,20,0,20,0,0.0,False
RATIO,R_BOTH,20,20,5,5,0.25,False
