h,L,dCAGR_TREND,dCAGR_UNCOND,contrast_CAGR,t,contrast_Sharpe,recovered_share
0.02,0.5,-0.08373544513438498,-0.08755280898229549,0.00381736384791051,3.6992020600491275,0.053106584207776364,0.041309016788294656
0.02,0.9,-0.077964961265848,-0.08382256981628362,0.005857608550435628,5.058902661030426,0.09330951255201558,0.06338721159148888
0.04,0.5,-0.0745197767665688,-0.08275926071357435,0.00823948394700555,5.456229992911348,0.10555420635371632,0.0891623104986548
0.04,0.9,-0.06273917630512227,-0.07546765618360081,0.01272847987847854,6.896752421517018,0.18901025358486861,0.13773929076143623
0.08,0.5,-0.05586265628292512,-0.07445299008160078,0.01859033379867566,9.364200027651792,0.22583644413075393,0.20117244296999415
0.08,0.9,-0.033404255059068744,-0.05973674195856014,0.026332486899491393,11.357794797011355,0.3865088999597288,0.2849529640733737
