shape,kind,stat,n,n_neg,frac_pos,mean,median,p
A,dd,d_on_A_ctl,27,12,0.5555555555555556,0.8768702256871703,1.8827099699206649,0.7011080384254456
A,dd,d_on_A_MF,27,15,0.4444444444444444,-0.9744013053654684,-0.705171284497117,0.7011080384254456
A,dd,d_on_A_MON,27,19,0.2962962962962963,-2.45650472376958,-1.6414617137215615,0.052238985896110535
A,gate,d_on_A_ctl,102,76,0.2549019607843137,-1.250435456930748,-1.0096861952464273,7.439048296053685e-07
A,gate,d_on_A_MF,108,83,0.23148148148148148,-2.096398919059036,-1.2842547007521166,1.8829338019072794e-08
A,gate,d_on_A_MON,108,94,0.12962962962962962,-3.594061025062238,-2.4221164461498605,1.007692869242209e-15
A,gross,d_on_A_ctl,27,8,0.7037037037037037,4.2523774930140785,6.406189519719294,0.052238985896110535
A,gross,d_on_A_MF,27,8,0.7037037037037037,0.15798962735066516,0.02028528754221881,0.052238985896110535
A,gross,d_on_A_MON,27,14,0.48148148148148145,0.1425693414704837,-0.004713764870886372,1.0
A,stop,d_on_A_ctl,48,47,0.020833333333333332,-2.35133724654756,-1.9356604729741338,3.481659405224491e-13
A,stop,d_on_A_MF,54,41,0.24074074074074073,-2.1100509869465496,-1.8617645531029083,0.00017512673440589488
A,stop,d_on_A_MON,54,42,0.2222222222222222,-2.258498570942036,-2.158951954318569,5.2094472007935266e-05
A,POOLED,d_on_A_ctl,204,143,0.29901960784313725,-0.5718960752646078,-1.0022225795505149,9.041165999449807e-09
A,POOLED,d_on_A_MF,216,147,0.3194444444444444,-1.6777636660180062,-0.7041012386569212,1.1883795852849327e-07
A,POOLED,d_on_A_MON,216,169,0.2175925925925926,-2.6508970780540153,-1.822423368731401,2.3731475405411537e-17
C,dd,d_on_C_ctl,27,20,0.25925925925925924,-3.1083538067523167,-2.738105857577361,0.0191572904586792
C,dd,d_on_C_MF,27,22,0.18518518518518517,-3.249209657775021,-2.4488548485744452,0.0015137195587158203
C,dd,d_on_C_MON,27,26,0.037037037037037035,-6.016051261539765,-3.50350265550208,4.172325134277344e-07
C,gate,d_on_C_ctl,102,91,0.10784313725490197,-3.733898356243442,-2.204696153967536,7.966829650936098e-17
C,gate,d_on_C_MF,108,92,0.14814814814814814,-3.7294639061305848,-2.2588400281448653,3.77738189059387e-14
C,gate,d_on_C_MON,108,93,0.1388888888888889,-5.839332821292303,-2.5174452164162187,6.404555406738942e-15
C,gross,d_on_C_ctl,27,17,0.37037037037037035,-2.7483240569368315,-1.0818244101332688,0.24778856337070465
C,gross,d_on_C_MF,27,22,0.18518518518518517,-2.973192624117909,-1.437353082600989,0.0015137195587158203
C,gross,d_on_C_MON,27,27,0.0,-6.238129416237301,-6.389380566831873,1.4901161193847656e-08
C,stop,d_on_C_ctl,48,46,0.041666666666666664,-2.248455187987269,-1.9616743155216483,8.363087999896379e-12
C,stop,d_on_C_MF,54,42,0.2222222222222222,-1.9607878036392108,-1.5856740448510092,5.2094472007935266e-05
C,stop,d_on_C_MON,54,42,0.2222222222222222,-2.1641812893905157,-1.773515838971914,5.2094472007935266e-05
C,POOLED,d_on_C_ctl,204,174,0.14705882352941177,-3.1611477080796817,-1.9764235220286206,7.292476796808565e-26
C,POOLED,d_on_C_MF,216,178,0.17592592592592593,-3.132729189211712,-1.9229377451945258,7.391438369015865e-23
C,POOLED,d_on_C_MON,216,188,0.12962962962962962,-4.992484317715913,-2.7544177351677925,2.7147648130339786e-30
