form,REPRO_ARTEFACT,REPRO_CONST,SELF_CONSISTENCY,n,share_self
count,35,5,0,40,0.0
exact,28,16,43,87,0.4942528735632184
floor,1,0,1,2,0.5
structural,15,11,20,46,0.43478260869565216
tolerance,104,114,127,345,0.3681159420289855
