claim_set,cost,claims,mean_M,mean_W,ratio,share_M,share_W
STRICT,0.0,66,0.2979924242424242,0.424090909090909,0.7026616648803145,0.7878787878787878,0.7878787878787878
STRICT,5.0,64,0.23453125000000002,0.0209375,11.201492537313433,0.78125,0.03125
STRICT,10.0,68,0.1379779411764706,0.0027205882352941174,50.716216216216225,0.5882352941176471,0.0
STRICT,25.0,67,0.011343283582089553,0.0,,0.0,0.0
STRICT,50.0,58,0.000603448275862069,0.0,,0.0,0.0
WIDE,0.0,78,0.3142307692307692,0.4178846153846153,0.7519558214450069,0.7564102564102564,0.7564102564102564
WIDE,5.0,73,0.24780821917808224,0.01849315068493151,13.4,0.7397260273972602,0.0273972602739726
WIDE,10.0,1507,0.1330673523556735,0.0004960185799601856,268.27090301003346,0.42534837425348376,0.0
WIDE,25.0,87,0.01045977011494253,0.0,,0.0,0.0
WIDE,50.0,65,0.0005384615384615385,0.0,,0.0,0.0
