q,k,n,char,book,stat,pairs,agree,ci_lo,ci_hi,pooled_rho,block_mean,block_sd,c_sqrtn,match_pooled_sign,estimable
0.5,40,30,breadth,CAND10,MARGINAL,400,0.5175,0.4685967396420818,0.5660703179369293,-0.06124678976881011,-0.057978143898088634,0.1724033702097415,0.9442921485378958,0.63125,False
0.5,40,30,breadth,CAND10,PARTIAL,400,0.515,0.46611266795606887,0.5636019528259407,-0.03408889213642626,-0.026689626559097998,0.18819209627735342,1.0307705627529047,0.5425,False
0.5,40,30,breadth,CAND20,MARGINAL,400,0.4625,0.4142263811170028,0.5114870669279734,-0.06676630015431122,-0.053141177075087934,0.18607306008017555,1.0191641234992619,0.59375,False
0.5,40,30,breadth,CAND20,PARTIAL,400,0.465,0.4166850440507483,0.5139808407912294,-0.04075711517197689,-0.0222751112257341,0.2008685753831922,1.1002024983130128,0.55,False
0.5,40,30,breadth,EWall,MARGINAL,400,0.4675,0.41914492339919235,0.5164733982397869,-0.07270334778782743,-0.05836509576696603,0.18297110594769242,1.002174020992188,0.61125,False
0.5,40,30,breadth,EWall,PARTIAL,400,0.505,0.4561884685810796,0.5537164050129236,-0.05195533576801801,-0.030628131755343322,0.19773869386432935,1.0830594312110158,0.5625,False
0.5,40,30,disp,CAND10,MARGINAL,400,0.605,0.5563117510251911,0.6516905944488758,0.1302705306880672,0.1235027808676307,0.17700394959402924,0.969490559601572,0.7625,False
0.5,40,30,disp,CAND10,PARTIAL,400,0.46,0.4117689359158348,0.5089920753321397,0.007884291121883146,0.00977610254354948,0.19108222714037884,1.0466004614311137,0.54,False
0.5,40,30,disp,CAND20,MARGINAL,400,0.635,0.5867430199020135,0.6806885671360728,0.1478268134844335,0.14151056729699665,0.17709513151019982,0.9699899835248037,0.78,False
0.5,40,30,disp,CAND20,PARTIAL,400,0.5,0.4512336165999552,0.5487663834000448,-0.03781080197217799,-0.033779063365142366,0.19221802232459642,1.0528214678621306,0.565,False
0.5,40,30,disp,EWall,MARGINAL,400,0.64,0.5918335636186343,0.6855028970134551,0.14784167900034287,0.14468743047830923,0.17596958567847173,0.9638251151093699,0.7925,False
0.5,40,30,disp,EWall,PARTIAL,400,0.4875,0.4388676214712341,0.536370194543758,-0.016198328757191193,-0.013815484501122698,0.19013954612854647,1.0414371848839898,0.51375,False
0.5,40,30,corr,CAND10,MARGINAL,400,0.75,0.7053220081939279,0.7899216715062317,-0.18871891805085958,-0.18481145717463845,0.17212182698108533,0.9427500727654177,0.8675,False
0.5,40,30,corr,CAND10,PARTIAL,400,0.62,0.5715036398060113,0.6662133264500655,-0.1466973610335293,-0.14463611223623554,0.18561176094357024,1.016637484070498,0.775,False
0.5,40,30,corr,CAND20,MARGINAL,400,0.7675,0.7236764828773743,0.8062342544017964,-0.1969845789261238,-0.1923626251390434,0.17449447204514995,0.9557455849908325,0.87125,False
0.5,40,30,corr,CAND20,PARTIAL,400,0.655,0.607138117953469,0.69991296346063,-0.16013637026998856,-0.15868642082065165,0.18772013115196517,1.0281855032975957,0.7975,False
0.5,40,30,corr,EWall,MARGINAL,400,0.715,0.6688796049741064,0.757029959568031,-0.17039787499077685,-0.17037708565072304,0.180755347540677,0.9900378123771475,0.825,False
0.5,40,30,corr,EWall,PARTIAL,400,0.61,0.5613705019046327,0.6565367171634375,-0.12641390192150723,-0.12957444642393529,0.19338698293425813,1.0592241288095978,0.7425,False
0.5,40,30,evol,CAND10,MARGINAL,400,0.59,0.5411663599855963,0.6371213647064611,0.10927868610540842,0.10197330367074527,0.17192016911287125,0.941645547132225,0.74,False
0.5,40,30,evol,CAND10,PARTIAL,400,0.47,0.42160601793747937,0.5189647404985014,0.04752028377038028,0.04579934183246426,0.18521374892879466,1.0144574824839914,0.585,False
0.5,40,30,evol,CAND20,MARGINAL,400,0.7325,0.6870582978814362,0.7735183242397125,0.17459385674416988,0.1700072302558398,0.17882305073826404,0.9794541869123806,0.83125,False
0.5,40,30,evol,CAND20,PARTIAL,400,0.6375,0.589287613174928,0.6830964106601597,0.1268230199241027,0.12736102904614494,0.18653548697117253,1.021696939893222,0.75375,False
0.5,40,30,evol,EWall,MARGINAL,400,0.7,0.6533618692890616,0.7428330744710662,0.1663439294441382,0.16306284760845383,0.1759787533325734,0.9638753284188788,0.8225,False
0.5,40,30,evol,EWall,PARTIAL,400,0.5725,0.5235544015629189,0.6200662655501273,0.109374765399507,0.11124197375994979,0.18325268182427953,1.0037162755847486,0.71375,False
0.5,40,60,breadth,CAND10,MARGINAL,400,0.515,0.46611266795606887,0.5636019528259407,-0.06124678976881011,-0.06384336012389374,0.1238634189443709,0.9594419175517216,0.695,False
0.5,40,60,breadth,CAND10,PARTIAL,400,0.455,0.4068577044508926,0.5039984332030787,-0.03408889213642626,-0.03628451570459983,0.13002481219037973,1.0071678644141757,0.61,False
0.5,40,60,breadth,CAND20,MARGINAL,400,0.525,0.4760562161165593,0.5734681518534566,-0.06676630015431122,-0.06235764092830685,0.12441907857940848,0.963746038577042,0.705,False
0.5,40,60,breadth,CAND20,PARTIAL,400,0.46,0.4117689359158348,0.5089920753321397,-0.04075711517197689,-0.03521065062071485,0.1306936212520375,1.012348437129362,0.6175,False
0.5,40,60,breadth,EWall,MARGINAL,400,0.5425,0.49350413540767263,0.5906872901413545,-0.07270334778782743,-0.06841804840545697,0.12423222509174871,0.9622986776852679,0.71125,False
0.5,40,60,breadth,EWall,PARTIAL,400,0.485,0.4363980471740593,0.5338873320439311,-0.05195533576801801,-0.0466007751655326,0.12907610810175882,0.9998192341427603,0.6575,False
0.5,40,60,disp,CAND10,MARGINAL,400,0.7775,0.7342081120211835,0.8155123724459937,0.1302705306880672,0.13351055848846904,0.1142371393728479,0.8848770766188311,0.88125,False
0.5,40,60,disp,CAND10,PARTIAL,400,0.4675,0.41914492339919235,0.5164733982397869,0.007884291121883146,0.012629688281891456,0.12508402683422845,0.9688967056110569,0.53875,False
0.5,40,60,disp,CAND20,MARGINAL,400,0.8175,0.7766862383008183,0.8522732349183845,0.1478268134844335,0.14837850791886636,0.11345405832154137,0.8788113568779495,0.90875,False
0.5,40,60,disp,CAND20,PARTIAL,400,0.5375,0.4885129330720267,0.5857736188829973,-0.03781080197217799,-0.03291250967143497,0.12340009837834978,0.9558530518794112,0.62875,False
0.5,40,60,disp,EWall,MARGINAL,400,0.815,0.7740134235872639,0.8499936128349371,0.14784167900034287,0.14866893581550433,0.11100144064862968,0.8598134620743476,0.9075,False
