offgrid,arm,n_rungs,n_pub_pass,n_any_offset_pass,n_all_offset_pass,n_date
SHIFT5,EWELIG,30,0,30,0,30
SHIFT5,CAND20,30,0,0,0,30
SHIFT5,CAND20_NG,30,30,30,30,24
SHIFT5,EWALL,30,30,30,30,0
SHIFT5,BAND03,30,30,30,0,30
SHIFT5,SPYBH,30,10,29,0,29
PHASE5,EWELIG,30,0,30,0,30
PHASE5,CAND20,30,0,0,0,0
PHASE5,CAND20_NG,30,30,30,30,3
PHASE5,EWALL,30,30,30,30,0
PHASE5,BAND03,30,30,30,30,0
PHASE5,SPYBH,30,10,29,0,29
ALT3,EWELIG,30,0,30,0,30
ALT3,CAND20,30,0,0,0,0
ALT3,CAND20_NG,30,30,30,30,2
ALT3,EWALL,30,30,30,30,0
ALT3,BAND03,30,30,30,30,0
ALT3,SPYBH,30,10,10,10,10
