sclass,repair,construction,partition,panel,stat,frac_ladder,fracs,within,between,ratio,scale,zrel,signflip,degenerate,blowup,R_SPREAD_ratio,R_SD_ratio,R_MATCHED_ratio
LEVEL,R_ASIS,C_POOLED,ALIGNED,U56,CAGR,L2,1/1+1/2,1.2220472103399551,0.0944130563574781,12.94362514558254,14.844322549506755,0.00636021320896286,False,True,True,12.94362514558254,9.152525113578129,12.94362514558254
LEVEL,R_FROZEN,C_POOLED,ALIGNED,U56,CAGR,L2,1/1+1/2,1.5320105767728798,0.47810522399844757,3.2043376643336035,14.797116021328016,0.03231070320117274,False,True,False,4.034785333566385,2.445557623077939,3.2043376643336035
LEVEL,R_COUNT,C_POOLED,ALIGNED,U56,CAGR,L2,1/1+1/2,1.2220472103399551,0.0944130563574781,12.94362514558254,14.844322549506755,0.00636021320896286,False,True,True,12.94362514558254,9.152525113578129,12.94362514558254
LEVEL,R_BOTH,C_POOLED,ALIGNED,U56,CAGR,L2,1/1+1/2,1.5320105767728798,0.31873681599896503,4.806506496500406,14.797116021328016,0.021540468800781826,False,True,False,6.052178000349577,3.6683364346169087,4.806506496500406
LEVEL,R_ASIS,C_POOLED,ALIGNED,U56,CAGR,L3,1/1+1/2+1/3,1.5320105767728798,0.47810522399844757,3.2043376643336035,14.797116021328016,0.03231070320117274,False,True,False,4.034785333566385,2.445557623077939,3.2043376643336035
LEVEL,R_FROZEN,C_POOLED,ALIGNED,U56,CAGR,L3,1/1+1/2+1/3,1.5320105767728798,0.47810522399844757,3.2043376643336035,14.797116021328016,0.03231070320117274,False,True,False,4.034785333566385,2.445557623077939,3.2043376643336035
LEVEL,R_COUNT,C_POOLED,ALIGNED,U56,CAGR,L3,1/1+1/2+1/3,1.5320105767728798,0.31873681599896503,4.806506496500406,14.797116021328016,0.021540468800781826,False,True,False,6.052178000349577,3.6683364346169087,4.806506496500406
LEVEL,R_BOTH,C_POOLED,ALIGNED,U56,CAGR,L3,1/1+1/2+1/3,1.5320105767728798,0.31873681599896503,4.806506496500406,14.797116021328016,0.021540468800781826,False,True,False,6.052178000349577,3.6683364346169087,4.806506496500406
LEVEL,R_ASIS,C_POOLED,ALIGNED,U56,CAGR,L4,1/1+1/2+1/3+1/4,1.7039731580743407,0.7079710720086947,2.4068400891575044,14.605269937507531,0.04847367251943539,False,True,False,3.798921099093435,1.940843286977942,2.4068400891575044
LEVEL,R_FROZEN,C_POOLED,ALIGNED,U56,CAGR,L4,1/1+1/2+1/3+1/4,1.5320105767728798,0.47810522399844757,3.2043376643336035,14.797116021328016,0.03231070320117274,False,True,False,4.034785333566385,2.445557623077939,3.2043376643336035
