panel,book,gross,be_IS,be_OOS,be_full
U56,CAP2,0.75,3.0,60.0,34.0
U56,CAP2,1.0,15.0,85.0,54.0
U56,CAND,0.75,22.0,71.0,49.0
U56,CAND,1.0,10.0,-1.0,-1.0
B136,CAP2,0.75,40.0,28.0,33.0
B136,CAP2,1.0,-1.0,-1.0,-1.0
B136,CAND,0.75,25.0,39.0,35.0
B136,CAND,1.0,-1.0,-1.0,-1.0
