stem,artifact,column,seed_min,n_arm,med_abs,med_signed,med_sd,share_neg,z,determinate,floor
2026-09-06_delisting-aware-small-panel_B,2026-09-06_delisting-aware-small-panel_B.books.csv,dSharpe,3,2,0.3090124865647865,-0.3090124865647865,0.05957046266122034,1.0,1.414213562373095,False,0.011869480580442099
2026-09-06_delisting-aware-small-panel_B,2026-09-06_delisting-aware-small-panel_B.books.csv,dSharpe,5,2,0.3090124865647865,-0.3090124865647865,0.05957046266122034,1.0,1.414213562373095,False,0.011869480580442099
2026-09-06_delisting-aware-small-panel_B,2026-09-06_delisting-aware-small-panel_B.books.csv,dSharpe,10,2,0.3090124865647865,-0.3090124865647865,0.05957046266122034,1.0,1.414213562373095,False,0.011869480580442099
2026-09-06_delisting-aware-small-panel_B,2026-09-06_delisting-aware-small-panel_B.books.csv,dSharpe,20,2,0.3090124865647865,-0.3090124865647865,0.05957046266122034,1.0,1.414213562373095,False,0.011869480580442099
2026-09-09_stop-summarising-the-DD-LEG-with-PATH-statistics_C,2026-09-09_stop-summarising-the-DD-LEG-with-PATH-statistics_C.shuffle.csv.gz,GAP,3,243,0.207028610047308,0.207028610047308,0.1288616703753125,0.0,-15.588457268119896,True,0.07702749109646259
2026-09-09_stop-summarising-the-DD-LEG-with-PATH-statistics_C,2026-09-09_stop-summarising-the-DD-LEG-with-PATH-statistics_C.shuffle.csv.gz,GAP,5,107,0.22686832740213525,0.22686832740213525,0.1331688360460089,0.0,-10.3440804327886,True,0.06499485364578579
2026-09-09_stop-summarising-the-DD-LEG-with-PATH-statistics_C,2026-09-09_stop-summarising-the-DD-LEG-with-PATH-statistics_C.shuffle.csv.gz,GAP,10,2,0.25078828828828825,0.25078828828828825,0.12563956807802468,0.0,-1.414213562373095,False,0.047498339378370266
2026-09-09_stop-summarising-the-DD-LEG-with-PATH-statistics_C,2026-09-09_stop-summarising-the-DD-LEG-with-PATH-statistics_C.shuffle.csv.gz,GAP,20,0,,,,,,False,
2026-09-10_does-every-published-MATCHED-GROSS-TWIN-claim-need-a-PLACEBO-column_cloud,2026-09-10_does-every-published-MATCHED-GROSS-TWIN-claim-need-a-PLACEBO-column_cloud.placebo.csv.gz,dSharpe,3,471,0.02934743984151065,-0.0037915734167553623,0.05385927214844774,0.5930735930735931,4.001082104713425,True,0.012627744833614242
2026-09-10_does-every-published-MATCHED-GROSS-TWIN-claim-need-a-PLACEBO-column_cloud,2026-09-10_does-every-published-MATCHED-GROSS-TWIN-claim-need-a-PLACEBO-column_cloud.placebo.csv.gz,dSharpe,5,456,0.030148228305919327,-0.00418447044829515,0.054886140662436696,0.5942350332594235,4.0024936794580945,True,0.012868502516647633
2026-09-10_does-every-published-MATCHED-GROSS-TWIN-claim-need-a-PLACEBO-column_cloud,2026-09-10_does-every-published-MATCHED-GROSS-TWIN-claim-need-a-PLACEBO-column_cloud.placebo.csv.gz,dSharpe,10,435,0.03127907299927109,-0.0038095197022128997,0.057136741977852915,0.5916473317865429,3.8052961017867957,True,0.012908876576445029
