panel,constr,m,n,tilt,n_held,gross,to_yr,CAGR_0,CAGR_10,Sharpe_10,MaxDD_10,H1_10,H2_10,OOSSharpe_10,OOSCAGR_10,OOSMaxDD_10,pass4a_10,pass4b_10,fail4b_10,pass4bOOS_10,CAGR_25,Sharpe_25,MaxDD_25,H1_25,H2_25,OOSSharpe_25,OOSCAGR_25,OOSMaxDD_25,pass4a_25,pass4b_25,fail4b_25,pass4bOOS_25
u56,lit,0.05,2,INV,1.9966208605541789,0.7489075854414527,32.09024078244285,0.08810181125418182,0.05373988308794164,0.5126966371229796,-0.1802448897975617,0.5169817464981884,0.5103845528905515,0.5101688924956821,0.055151498522853615,-0.1802448897975617,False,False,H1|H2|OOS|CAGR,False,0.004161910393672974,0.09372259306405284,-0.27507208840477293,0.06128350315337189,0.12292205945822983,0.10954520356013454,0.005952042128963164,-0.21804689487499562,False,False,H1|H2|OOS|DD|CAGR,False
u56,lit,0.05,2,NONE,1.9576481189457084,0.734537752604951,23.259224259277154,0.22296882912064664,0.194899661984975,0.8555390521446696,-0.2649401532800354,0.890164949092279,0.8257011616028349,0.7882923472267235,0.18151564540227727,-0.26494015328003506,False,False,H1|H2|OOS|DD,False,0.15395624023534094,0.71171984800219,-0.28898376530160064,0.750894842376374,0.6774617615420333,0.6428434375343195,0.13898727319674542,-0.28898376530159997,False,False,H1|H2|OOS|DD,False
u56,lit,0.05,2,POS,2.0,0.7504650091335826,26.203677058949832,0.23543119439803317,0.20352851501922742,0.8232543805858391,-0.3104650770250419,0.6766268505723915,0.9557194401520632,0.9077872650972231,0.24140582822149637,-0.31046507702504167,False,False,H1|DD,False,0.15716060660380804,0.677065789180425,-0.33746389691013434,0.5336364038294285,0.8061791993604193,0.7629800826617118,0.19175445217456688,-0.3374638969101337,False,False,H1|H2|OOS|DD,False
u56,lit,0.1,4,INV,3.999098896147781,0.7500358073097304,25.75897844910904,0.09109657524968151,0.06336318920119854,0.6438598535101765,-0.14621295714977733,0.6422282659259584,0.6498828424498349,0.7024733927753325,0.07396019935368492,-0.14621295714977756,False,False,H1|H2|OOS|CAGR,False,0.023044796888001873,0.2711555043101469,-0.17501750938801408,0.24341372186387006,0.296264268123525,0.34042819975655236,0.03197872137557556,-0.17501750938801597,False,False,H1|H2|OOS|CAGR,False
u56,lit,0.1,4,NONE,3.932191935120523,0.7377349512075754,18.614395598169168,0.2221772191839635,0.1996586541178802,1.0519223604509254,-0.23812385035473016,1.0946921600565163,1.023995967720485,1.0221819370009306,0.20554390320503924,-0.23812385035473038,False,False,DD,False,0.16663366570638205,0.9049626439430485,-0.24577359926854547,0.9403567808346722,0.8821256780048764,0.8816357167974807,0.17169543780195062,-0.24577359926854547,False,False,H1|OOS|DD,False
u56,lit,0.1,4,POS,3.9988736201847264,0.7502221995804713,20.793888531753115,0.2176551784568308,0.19262244756494495,0.9337554797573676,-0.2952419333765074,0.9396163646211172,0.9330574148341034,0.9543630625751028,0.20805214484693613,-0.2626537013684731,False,False,H1|DD,False,0.1560078814110708,0.7871611063018024,-0.32235078414092544,0.7872031127071124,0.7907830263681596,0.8132738939709346,0.17040658710254486,-0.28535759678197536,False,False,H1|H2|OOS|DD,False
u56,lit,0.15,6,INV,5.988736201847263,0.7487896136740955,21.905760941680075,0.09383892521766968,0.0701506029554364,0.7232697164867782,-0.14614214263708403,0.8070568131639853,0.6543707439920669,0.7158306382452424,0.07234524719631175,-0.14614214263708403,False,False,H1|H2|OOS|CAGR,False,0.03555220703630457,0.3967913925849583,-0.1780205172315359,0.4731681591018479,0.332748127182472,0.3865391425028049,0.03581899021619961,-0.17802051723153667,False,False,H1|H2|OOS|CAGR,False
u56,lit,0.15,6,NONE,5.942329353457986,0.7431762158234818,16.225241740727874,0.17188917920719793,0.1530513538891709,0.938555656357481,-0.19417460046731294,0.8921715315709547,0.983752108580916,0.9818233831505372,0.1708654603725368,-0.19417460046731294,False,False,H1,False,0.12534548872607854,0.7925810400723282,-0.19511080356518118,0.7314078918889138,0.8492921604742588,0.8454633221675231,0.14298383556747862,-0.19511080356518096,False,False,H1|OOS,False
u56,lit,0.15,6,POS,5.988736201847263,0.748992359317315,17.39312428730991,0.20137192356865374,0.18067505126461292,0.9942943326859782,-0.24090972881188089,0.995903315349886,0.99906738585002,0.9971563079874232,0.19200789482549707,-0.240909728811881,False,False,DD,False,0.1502787281014244,0.8524720800431937,-0.24852383711317005,0.8454416078703921,0.8636506511118581,0.8607044120326628,0.16067567453017428,-0.24852383711316972,False,False,H1|OOS|DD,False
u56,lit,0.2,7,INV,6.97386798828565,0.7474073742581081,19.96316813335339,0.09726327675941193,0.07558833179656266,0.7710794700462281,-0.16030785524478453,0.8263385830937223,0.7271061283941536,0.7851824455341097,0.08051394717335447,-0.16030785524478564,False,False,H1|H2|OOS|CAGR,False,0.04385604772200691,0.474721761144087,-0.1803047220279912,0.5168962815126279,0.4406089258684006,0.48970499074300183,0.04730159766737452,-0.1803047220279934,False,False,H1|H2|OOS|CAGR,False
