panel,k,n_elig,n5,n10,n15,n20,n30,n40
B136,20,13.4611335504886,0.7163228013029316,0.6904295602605862,0.6283903908794789,0.5042948289902279,0.3361965526601521,0.25214741449511396
B136,40,26.92559609120521,0.7318591205211726,0.7255735342019544,0.7134530944625408,0.6969036237785015,0.6353085776330079,0.5043644340390879
B136,80,53.823579804560254,0.7396908794788274,0.7382182410423452,0.7352622692725299,0.730790309446254,0.7167003800217158,0.6999335301302934
SMALL484,20,6.131784577723378,0.641635924112607,0.4473408506731946,0.30427472460220323,0.22823092105263157,0.15215394736842106,0.11411546052631578
SMALL484,40,12.266015911872707,0.7177817625458998,0.6623176560587515,0.5643276009791921,0.4522731334149326,0.3043363831089351,0.2282535495716034
SMALL484,80,24.63462545899633,0.7395332313341494,0.7267432986536108,0.7049017747858018,0.6738257955936351,0.5752009485924113,0.45597792227662176
