frac_ladder,partition,stat,within_def,vintage,committed_1157,rel_dev
F_1140,ALIGNED,CAGR,RANGE,4.034785333566385,4.03895681312946,0.001032811133190528
F_1140,ALIGNED,CAGR,SD,4.617487189899057,4.620849305716739,0.0007275969405715683
F_1140,ALIGNED,VOL,RANGE,4.477119458019928,4.477024287037743,2.1257642595408352e-05
F_1140,ALIGNED,VOL,SD,2.0960155250400545,2.095993790351033,1.0369634262039679e-05
F_1140,ALIGNED,SHARPE,RANGE,57.633977121192686,58.66790312920544,0.017623367341691436
F_1140,ALIGNED,SHARPE,SD,73.59173529362599,75.00537050031497,0.018847119843012357
F_1140,ALIGNED,MAXDD,RANGE,1.5485610318463894,1.5485596743156445,8.766408989227679e-07
F_1140,ALIGNED,MAXDD,SD,1.5038418439899992,1.503842222995561,2.5202481751617516e-07
F_1140,ALIGNED,ULCER,RANGE,3.6658558343276013,3.6658327663682417,6.292692773989536e-06
F_1140,ALIGNED,ULCER,SD,2.166594483533689,2.166588949848096,2.5541003489610925e-06
F_1140,ALIGNED,CALMAR,RANGE,1.6407967324209791,1.6407960938425614,3.891881630485821e-07
F_1140,ALIGNED,CALMAR,SD,1.8630844802063937,1.8630842866088664,1.0391238267324158e-07
F_FINE,ALIGNED,CAGR,RANGE,1.6653822499262627,1.665799990108697,0.00025077451369602105
F_FINE,ALIGNED,CAGR,SD,1.9290752658781787,1.9293234565859056,0.00012864131562789538
F_FINE,ALIGNED,VOL,RANGE,4.1020632117445714,4.102050491738748,3.100889628094345e-06
F_FINE,ALIGNED,VOL,SD,4.047719630757015,4.04770183599212,4.396263760624318e-06
F_FINE,ALIGNED,SHARPE,RANGE,3.017489670071165,3.018825262165877,0.0004424211336279142
F_FINE,ALIGNED,SHARPE,SD,3.549784032761043,3.550375895713815,0.0001667043068556321
F_FINE,ALIGNED,MAXDD,RANGE,1.1044903436077305,1.104490918427957,5.20439070107452e-07
F_FINE,ALIGNED,MAXDD,SD,1.4634113319058577,1.463410442502886,6.077604381408639e-07
F_FINE,ALIGNED,ULCER,RANGE,1.6787907257124244,1.6787907995319136,4.3971821389917394e-08
F_FINE,ALIGNED,ULCER,SD,2.3652120871749025,2.365211738344488,1.4748379972776516e-07
F_FINE,ALIGNED,CALMAR,RANGE,2.0725033851903087,2.0725033935591464,4.038033254326477e-09
F_FINE,ALIGNED,CALMAR,SD,2.3368250046940857,2.3368177673199195,3.097106786590294e-06
F_FINER,ALIGNED,CAGR,RANGE,5.611942414171025,5.614164346109917,0.0003957725142892084
F_FINER,ALIGNED,CAGR,SD,3.1406879323639143,3.1409967409051296,9.83154605650117e-05
F_FINER,ALIGNED,VOL,RANGE,3.4298372239287023,3.42981240267284,7.236913553314282e-06
F_FINER,ALIGNED,VOL,SD,4.4545169963221625,4.454518071415462,2.41348959075322e-07
F_FINER,ALIGNED,SHARPE,RANGE,15.17033311981901,15.182935508381185,0.0008300363625478657
F_FINER,ALIGNED,SHARPE,SD,5.739769185616392,5.740116440144821,6.049607739654983e-05
F_FINER,ALIGNED,MAXDD,RANGE,1.1191865294315755,1.1191892256426856,2.4090752916293796e-06
F_FINER,ALIGNED,MAXDD,SD,1.5951522783747656,1.595154920884013,1.6565847071171703e-06
F_FINER,ALIGNED,ULCER,RANGE,3.6157124834752934,3.6157194263529377,1.920192588438457e-06
F_FINER,ALIGNED,ULCER,SD,2.9722478089062525,2.9722443242097736,1.1724125269730644e-06
