cash_bps,books,keep4a,keep4b,both,H1,H2,OOS,DD,CAGR
0.0,612,34,50,0,130,221,221,273,336
150.0,612,124,69,0,76,204,198,268,307
300.0,612,142,95,1,51,165,155,266,277
