panel,book,bookset,gross,cost_bps,chooser,grid,phase,n_reb_per_yr,IS_Sharpe,IS_CAGR,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS_H1,OOS_H2,turn_per_yr,spy_CAGR,spy_Sharpe,spy_MaxDD,spy_H1,spy_H2,spy_OOS_CAGR,spy_OOS_Sharpe,spy_OOS_MaxDD,spy_OOS_H1,spy_OOS_H2,base_OOS_CAGR,base_OOS_Sharpe,base_OOS_MaxDD,base_OOS_H1,base_OOS_H2,pass4b_REC,fail4b_REC,pass4b_OOSPURE,pass4a
U56,TOP05,RANKED,CORE,0.0,CANON_W,W,0,52.426754205990974,1.0024572697031569,0.162474223524822,0.18605356260736206,1.0505622623923352,-0.2050667959804663,1.0111112994142348,1.090793015289706,0.2058311222035587,1.0893447430360168,-0.20506679598046562,1.2064207838872831,0.9921135564934297,17.680869292618343,0.15130245537273979,0.8846055469685764,-0.33717267708462395,0.9590622332221228,0.823818011320285,0.15271636385461385,0.8741369266172683,-0.33717267708462373,0.9806119074922208,0.7595759140985078,0.09660362689074264,1.302013141347075,-0.12029818259516045,1.4313739035551263,1.1610591891587985,False,L4_DD,False,False
U56,TOP05,RANKED,CORE,0.0,IS_PHASE_W,W,1,52.426754205990974,1.1605028587404425,0.19451868559518215,0.1922456662263401,1.0781277955433715,-0.20851246573874038,1.1696985245638902,1.0062797036444995,0.19037696125389414,1.0223549757669548,-0.2085124657387405,1.1877169778282328,0.878010177292001,17.1231610631884,0.15130245537273979,0.8846055469685764,-0.33717267708462395,0.9590622332221228,0.823818011320285,0.15271636385461385,0.8741369266172683,-0.33717267708462373,0.9806119074922208,0.7595759140985078,0.09660362689074264,1.302013141347075,-0.12029818259516045,1.4313739035551263,1.1610591891587985,False,L4_DD,False,False
U56,TOP05,RANKED,CORE,0.0,IS_GRIDPHASE,K42,41,6.100943783340172,1.5152029500844983,0.2832460828393264,0.24615835427440902,1.278712040191887,-0.23532948980742185,1.535308634177263,1.061714465701902,0.21642088328100795,1.106538716317918,-0.2353294898074213,1.150093564187673,1.0695795553553598,4.9010819578974045,0.15130245537273979,0.8846055469685764,-0.33717267708462395,0.9590622332221228,0.823818011320285,0.15271636385461385,0.8741369266172683,-0.33717267708462373,0.9806119074922208,0.7595759140985078,0.09660362689074264,1.302013141347075,-0.12029818259516045,1.4313739035551263,1.1610591891587985,False,L4_DD,False,False
U56,TOP05,RANKED,CORE,0.0,IS_GRID_CANON,M,0,12.09848173984407,1.323409172685408,0.23279205770988698,0.19508238695933788,1.0489352809160268,-0.2717646245973394,1.3017101419561126,0.8521210781394921,0.1648941820798715,0.8639532392335538,-0.27176462459733963,1.0354114170568207,0.6923786528087118,7.713835722898465,0.15130245537273979,0.8846055469685764,-0.33717267708462395,0.9590622332221228,0.823818011320285,0.15271636385461385,0.8741369266172683,-0.33717267708462373,0.9806119074922208,0.7595759140985078,0.09660362689074264,1.302013141347075,-0.12029818259516045,1.4313739035551263,1.1610591891587985,False,"L3_OOS,L4_DD",False,False
U56,TOP05,RANKED,CORE,0.0,MAXREB_CANON,K05,0,50.35863766926549,1.0615311531697016,0.1756813397920598,0.20306280553543177,1.1304939604491944,-0.18480258055379228,1.1050680835527094,1.1582331701913633,0.22609111245967428,1.1843801707436563,-0.18480258055379217,1.2280245700073842,1.1492982374838285,16.564985148319952,0.15130245537273979,0.8846055469685764,-0.33717267708462395,0.9590622332221228,0.823818011320285,0.15271636385461385,0.8741369266172683,-0.33717267708462373,0.9806119074922208,0.7595759140985078,0.09660362689074264,1.302013141347075,-0.12029818259516045,1.4313739035551263,1.1610591891587985,True,-,True,False
U56,TOP05,RANKED,CORE,5.0,CANON_W,W,0,52.426754205990974,0.9488807176681842,0.15231884284035502,0.17562648517917356,1.0008998075834354,-0.2104498136069597,0.9567286315521729,1.044790503664513,0.19517515902842475,1.0422788668086236,-0.2104498136069587,1.1587841775614098,0.9453581355159787,17.680869292618343,0.15130245537273979,0.8846055469685764,-0.33717267708462395,0.9590622332221228,0.823818011320285,0.15271636385461385,0.8741369266172683,-0.33717267708462373,0.9806119074922208,0.7595759140985078,0.09562313162683123,1.2897325550108452,-0.12042383491693864,1.4208911754396205,1.1466810934762315,False,"L1_H1,L4_DD",False,False
U56,TOP05,RANKED,CORE,5.0,IS_PHASE_W,W,1,52.426754205990974,1.1100806132349366,0.18460362418151455,0.18208916911293271,1.0300150644588253,-0.20944713301910545,1.1187599553143126,0.960334761275777,0.180022388915688,0.9757650381232846,-0.20944713301910534,1.1408111159509122,0.8316438179626494,17.1231610631884,0.15130245537273979,0.8846055469685764,-0.33717267708462395,0.9590622332221228,0.823818011320285,0.15271636385461385,0.8741369266172683,-0.33717267708462373,0.9806119074922208,0.7595759140985078,0.09562313162683123,1.2897325550108452,-0.12042383491693864,1.4208911754396205,1.1466810934762315,False,L4_DD,False,False
U56,TOP05,RANKED,CORE,5.0,IS_GRIDPHASE,K42,41,6.100943783340172,1.5021455845600182,0.28038394564966973,0.24310474906118262,1.2653335672536141,-0.23647182190360305,1.5217999495563383,1.0483587217990886,0.21321977152194904,1.0928677063079588,-0.23647182190360239,1.1360801521617094,1.0561988660080162,4.9010819578974045,0.15130245537273979,0.8846055469685764,-0.33717267708462395,0.9590622332221228,0.823818011320285,0.15271636385461385,0.8741369266172683,-0.33717267708462373,0.9806119074922208,0.7595759140985078,0.09562313162683123,1.2897325550108452,-0.12042383491693864,1.4208911754396205,1.1466810934762315,False,L4_DD,False,False
U56,TOP05,RANKED,CORE,5.0,IS_GRID_CANON,Q,0,4.03282724661469,1.3105489495632592,0.23760677555718734,0.15764213005470795,0.8608622005781877,-0.29161196241882625,1.3010528492460411,0.5023549658325887,0.09568165475823154,0.5496327967055592,-0.29161196241882437,0.6112278153142878,0.4877649656174432,3.9496392555127877,0.15130245537273979,0.8846055469685764,-0.33717267708462395,0.9590622332221228,0.823818011320285,0.15271636385461385,0.8741369266172683,-0.33717267708462373,0.9806119074922208,0.7595759140985078,0.09562313162683123,1.2897325550108452,-0.12042383491693864,1.4208911754396205,1.1466810934762315,False,"L2_H2,L3_OOS,L4_DD,L5_CAGR",False,False
U56,TOP05,RANKED,CORE,5.0,MAXREB_CANON,K05,0,50.35863766926549,1.0126453894747267,0.1662159667117169,0.1931451087228726,1.0838095941864154,-0.18536417285776285,1.0558343600205036,1.1135055550935882,0.21578899357682713,1.1391491545560466,-0.1853641728577633,1.1809056576240606,1.1055778040708322,16.564985148319952,0.15130245537273979,0.8846055469685764,-0.33717267708462395,0.9590622332221228,0.823818011320285,0.15271636385461385,0.8741369266172683,-0.33717267708462373,0.9806119074922208,0.7595759140985078,0.09562313162683123,1.2897325550108452,-0.12042383491693864,1.4208911754396205,1.1466810934762315,True,-,True,False
