phi,convention,set,pass_rate,n
0.5,CURRENT,SHELF,1.0,8
0.5,CURRENT,GRID,0.6111111111111112,54
0.5,CONST,SHELF,1.0,8
0.5,CONST,GRID,0.8518518518518519,54
0.5,PATH,SHELF,1.0,8
0.5,PATH,GRID,0.8888888888888888,54
0.6,CURRENT,SHELF,1.0,8
0.6,CURRENT,GRID,0.5185185185185185,54
0.6,CONST,SHELF,1.0,8
0.6,CONST,GRID,0.7962962962962963,54
0.6,PATH,SHELF,1.0,8
0.6,PATH,GRID,0.7962962962962963,54
0.7,CURRENT,SHELF,1.0,8
0.7,CURRENT,GRID,0.5,54
0.7,CONST,SHELF,1.0,8
0.7,CONST,GRID,0.7777777777777778,54
0.7,PATH,SHELF,1.0,8
0.7,PATH,GRID,0.7777777777777778,54
0.8,CURRENT,SHELF,0.625,8
0.8,CURRENT,GRID,0.35185185185185186,54
0.8,CONST,SHELF,1.0,8
0.8,CONST,GRID,0.7037037037037037,54
0.8,PATH,SHELF,1.0,8
0.8,PATH,GRID,0.7777777777777778,54
0.9,CURRENT,SHELF,0.5,8
0.9,CURRENT,GRID,0.1111111111111111,54
0.9,CONST,SHELF,1.0,8
0.9,CONST,GRID,0.6666666666666666,54
0.9,PATH,SHELF,1.0,8
0.9,PATH,GRID,0.7222222222222222,54
1.0,CURRENT,SHELF,0.125,8
1.0,CURRENT,GRID,0.0,54
1.0,CONST,SHELF,0.875,8
1.0,CONST,GRID,0.2222222222222222,54
1.0,PATH,SHELF,0.75,8
1.0,PATH,GRID,0.2962962962962963,54
