check,field,n,maxabsdiff,verdict
[b] idea165 grid,n,378,0.0,MATCH
[b] idea165 grid,CAGR,378,9.71445146547012e-17,MATCH
[b] idea165 grid,Sharpe,378,2.220446049250313e-16,MATCH
[b] idea165 grid,MaxDD,378,8.326672684688674e-17,MATCH
[b] idea165 grid,H1,378,2.220446049250313e-16,MATCH
[b] idea165 grid,H2,378,2.220446049250313e-16,MATCH
[b] idea165 grid,OOS_Sharpe,378,2.220446049250313e-16,MATCH
[a] cost identity,returns,9,0.0,MATCH
