L,IS_inside,OOS_inside,n_IS,n_OOS
126,0.987012987012987,0.9727065959059894,1078.0,1319
189,0.9865900383141762,0.9797507788161994,1044.0,1284
252,0.9890873015873016,0.9927884615384616,1008.0,1248
315,0.9866255144032922,0.9925742574257426,972.0,1212
378,0.9775641025641025,0.9906462585034014,936.0,1176
504,0.9780092592592593,0.9746376811594203,864.0,1104
630,0.9810606060606061,0.9699612403100775,792.0,1032
756,0.975,0.9666666666666667,720.0,960
1008,0.9670138888888888,0.9693627450980392,576.0,816
1260,0.9652777777777778,0.9255952380952381,432.0,672
1512,0.9513888888888888,0.8598484848484849,288.0,528
2016,,0.8291666666666667,,240
