selector,pick,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,panel,family,bps,dOOS
S0 do-nothing,-,0.8757653518480898,0.12397539681393677,-0.21570287649607056,BROAD136,BUDGET,10,0.0
S1 IS-Sharpe argmax (control),0.2/skip,0.6985632186076824,0.10422568167652835,-0.277871321094844,BROAD136,BUDGET,10,-0.17720213324040734
S2 clause-gated MAX K=20,0.5/skip,0.7714043980223994,0.11085781079591772,-0.25624729378573197,BROAD136,BUDGET,10,-0.10436095382569044
S2 clause-gated MAX K=50,0.5/skip,0.7714043980223994,0.11085781079591772,-0.25624729378573197,BROAD136,BUDGET,10,-0.10436095382569044
S2 clause-gated MAX K=100,0.5/skip,0.7714043980223994,0.11085781079591772,-0.25624729378573197,BROAD136,BUDGET,10,-0.10436095382569044
S2 clause-gated MAX K=200,0.5/skip,0.7714043980223994,0.11085781079591772,-0.25624729378573197,BROAD136,BUDGET,10,-0.10436095382569044
S2 clause-gated Q95 K=20,0.5/skip,0.7714043980223994,0.11085781079591772,-0.25624729378573197,BROAD136,BUDGET,10,-0.10436095382569044
S2 clause-gated Q95 K=50,0.5/skip,0.7714043980223994,0.11085781079591772,-0.25624729378573197,BROAD136,BUDGET,10,-0.10436095382569044
S2 clause-gated Q95 K=100,0.5/skip,0.7714043980223994,0.11085781079591772,-0.25624729378573197,BROAD136,BUDGET,10,-0.10436095382569044
S2 clause-gated Q95 K=200,0.5/skip,0.7714043980223994,0.11085781079591772,-0.25624729378573197,BROAD136,BUDGET,10,-0.10436095382569044
ORACLE-OOS,0.05/skip,0.9020274847728665,0.15431585426676997,-0.27794198758253685,BROAD136,BUDGET,10,0.02626213292477675
S0 do-nothing,-,0.7310232139337223,0.10056721799550972,-0.21680281437912718,BROAD136,BUDGET,25,0.0
S1 IS-Sharpe argmax (control),0.2/skip,0.6446662817622812,0.09471793062604994,-0.2796670341693569,BROAD136,BUDGET,25,-0.08635693217144103
S2 clause-gated MAX K=20,0.5/skip,0.6380974113593185,0.0886992386906158,-0.2581944196770942,BROAD136,BUDGET,25,-0.09292580257440375
S2 clause-gated MAX K=50,0.5/skip,0.6380974113593185,0.0886992386906158,-0.2581944196770942,BROAD136,BUDGET,25,-0.09292580257440375
S2 clause-gated MAX K=100,0.5/skip,0.6380974113593185,0.0886992386906158,-0.2581944196770942,BROAD136,BUDGET,25,-0.09292580257440375
S2 clause-gated MAX K=200,0.5/skip,0.6380974113593185,0.0886992386906158,-0.2581944196770942,BROAD136,BUDGET,25,-0.09292580257440375
S2 clause-gated Q95 K=20,0.5/skip,0.6380974113593185,0.0886992386906158,-0.2581944196770942,BROAD136,BUDGET,25,-0.09292580257440375
S2 clause-gated Q95 K=50,0.5/skip,0.6380974113593185,0.0886992386906158,-0.2581944196770942,BROAD136,BUDGET,25,-0.09292580257440375
S2 clause-gated Q95 K=100,0.5/skip,0.6380974113593185,0.0886992386906158,-0.2581944196770942,BROAD136,BUDGET,25,-0.09292580257440375
S2 clause-gated Q95 K=200,0.3/half,0.7115144274947797,0.09871081565157769,-0.22351452308117525,BROAD136,BUDGET,25,-0.019508786438942605
ORACLE-OOS,0.05/skip,0.8982050152565592,0.15356213925262585,-0.2779419875825361,BROAD136,BUDGET,25,0.1671818013228369
S0 do-nothing,-,0.8757653518480898,0.12397539681393677,-0.21570287649607056,BROAD136,DDCTL,10,0.0
S1 IS-Sharpe argmax (control),0.15/0.5,0.8663357222169618,0.12164077907448356,-0.21570287649607056,BROAD136,DDCTL,10,-0.009429629631128034
S2 clause-gated MAX K=20,ABSTAIN,0.8757653518480898,0.12397539681393677,-0.21570287649607056,BROAD136,DDCTL,10,0.0
S2 clause-gated MAX K=50,ABSTAIN,0.8757653518480898,0.12397539681393677,-0.21570287649607056,BROAD136,DDCTL,10,0.0
S2 clause-gated MAX K=100,ABSTAIN,0.8757653518480898,0.12397539681393677,-0.21570287649607056,BROAD136,DDCTL,10,0.0
S2 clause-gated MAX K=200,ABSTAIN,0.8757653518480898,0.12397539681393677,-0.21570287649607056,BROAD136,DDCTL,10,0.0
S2 clause-gated Q95 K=20,ABSTAIN,0.8757653518480898,0.12397539681393677,-0.21570287649607056,BROAD136,DDCTL,10,0.0
S2 clause-gated Q95 K=50,ABSTAIN,0.8757653518480898,0.12397539681393677,-0.21570287649607056,BROAD136,DDCTL,10,0.0
S2 clause-gated Q95 K=100,ABSTAIN,0.8757653518480898,0.12397539681393677,-0.21570287649607056,BROAD136,DDCTL,10,0.0
S2 clause-gated Q95 K=200,ABSTAIN,0.8757653518480898,0.12397539681393677,-0.21570287649607056,BROAD136,DDCTL,10,0.0
ORACLE-OOS,0.25/0.5,0.8757653518480898,0.12397539681393677,-0.21570287649607056,BROAD136,DDCTL,10,0.0
S0 do-nothing,-,0.7310232139337223,0.10056721799550972,-0.21680281437912718,BROAD136,DDCTL,25,0.0
S1 IS-Sharpe argmax (control),0.15/0.5,0.7207513082069836,0.09830066843493657,-0.21680281437912718,BROAD136,DDCTL,25,-0.01027190572673864
S2 clause-gated MAX K=20,ABSTAIN,0.7310232139337223,0.10056721799550972,-0.21680281437912718,BROAD136,DDCTL,25,0.0
S2 clause-gated MAX K=50,ABSTAIN,0.7310232139337223,0.10056721799550972,-0.21680281437912718,BROAD136,DDCTL,25,0.0
