ladder,k,T_EXACT,T_095,T_090,T_080,T_060,null_exact,med_R,med_R_over_q95,res_SPREAD,res_ARGMAX
N,6,0.0,0.0,0.09523809523809523,0.2619047619047619,0.5,0.002777777777777778,0.16040539352315192,0.3747825417965327,0.0,0.0
H,4,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.38095238095238093,0.38095238095238093,0.08333333333333333,0.09438206874294763,0.3392242236202103,0.0,0.0
GROSS,10,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9761904761904762,5.511463844797178e-07,0.0017627081886174567,0.4225317654300087,0.09523809523809523,0.07142857142857142
CADENCE,2,1.0,1.0,1.0,1.0,1.0,1.0,0.04276099244685749,0.17611897833657558,0.0,0.0
