panel,book,gross,carrier4b,carrier4a,arms,arm4b,arm4a
broad136,BAND3,0.75,False,False,12,0,1
broad136,BAND3,1.0,True,False,12,4,0
broad136,EWALL,0.75,False,False,12,5,0
broad136,EWALL,1.0,False,False,12,4,0
broad136,MA200,0.75,False,False,12,0,0
broad136,MA200,1.0,False,False,12,1,0
broad136,TOP20,0.75,False,False,12,2,0
broad136,TOP20,1.0,False,False,12,0,0
small439,BAND3,0.75,False,False,12,0,1
small439,BAND3,1.0,False,False,12,0,0
small439,EWALL,0.75,False,False,12,0,0
small439,EWALL,1.0,False,False,12,0,0
small439,MA200,0.75,False,False,12,0,1
small439,MA200,1.0,False,False,12,0,0
small439,TOP20,0.75,False,False,12,0,0
small439,TOP20,1.0,False,False,12,0,0
u56,BAND3,0.75,False,False,12,0,1
u56,BAND3,1.0,True,False,12,9,0
u56,EWALL,0.75,False,False,12,5,0
u56,EWALL,1.0,False,False,12,4,0
u56,MA200,0.75,False,False,12,0,0
u56,MA200,1.0,True,False,12,7,0
u56,TOP20,0.75,False,False,12,6,0
u56,TOP20,1.0,False,False,12,3,0
