panel,book,gross,inst,cad,dTurn,dTurn_abs,dCAGR,dSharpe,dMaxDD,dOOS_Sharpe,w4b,c4b
U56,CAP2,0.75,SHY,M,-0.046448915561054016,-0.16286768520154382,-0.0003080271340274443,-0.003194893781120367,-7.758085304176987e-05,-0.005495360643333003,True,True
U56,CAP2,0.75,SHY,Q,-0.0941514951833512,-0.33013119668253355,-0.00015299627096654334,-0.0015618513353168328,-0.0002642431069123097,-0.002651924379611481,True,True
U56,CAP2,0.75,SHY,NEVER,-0.22381554999526987,-0.7847830266763896,-0.003277513698239476,-0.03434882225192015,-0.0037218479194228715,-0.04041702225459831,True,True
U56,CAP2,0.75,IEF,W,0.004640570374274677,0.016271616801893263,0.002770106741104339,0.0054675143330893405,-0.025988146456027317,-0.06602101245503267,True,True
U56,CAP2,0.75,IEF,M,-0.044334750300546455,-0.15545461219535506,0.0008783864459240842,-0.008102188670801036,-0.023959537063201863,-0.07653582407172355,True,True
U56,CAP2,0.75,IEF,Q,-0.09212224267029834,-0.3230158602855857,-0.0003085731710918971,-0.014815318218445839,-0.012379581273890605,-0.06954374775583361,True,True
U56,CAP2,0.75,IEF,NEVER,-0.22381554999526987,-0.7847830266763896,-0.003277513698239476,-0.03434882225192015,-0.0037218479194228715,-0.04041702225459831,True,True
U56,CAP2,0.75,LQD,W,0.00045287166883656305,0.001587941494561207,0.012157577599386737,-0.041646085122955645,-0.09553377751780956,-0.14656187627685124,True,False
U56,CAP2,0.75,LQD,M,-0.048227978003497984,-0.16910575940263017,0.01122140888188361,-0.016733380301028555,-0.04840124512212729,-0.11144799841040043,True,True
U56,CAP2,0.75,LQD,Q,-0.09581895702920973,-0.3359779564554266,0.011026534648494346,-0.0073458150095710995,-0.037503947522753545,-0.08409393994134184,True,True
U56,CAP2,0.75,LQD,NEVER,-0.22381554999526987,-0.7847830266763896,-0.003277513698239476,-0.03434882225192015,-0.0037218479194228715,-0.04041702225459831,True,True
U56,CAP2,0.75,ZERO,n/a,-0.22381554999526987,-0.7847830266763896,-0.003277513698239476,-0.03434882225192015,-0.0037218479194228715,-0.04041702225459831,True,True
U56,CAP2,1.0,SHY,M,-0.07253807921427435,-0.2895628628687006,-0.0003900983710614092,-0.003895510997367735,-3.933294680735777e-06,-0.007167638256870168,True,True
U56,CAP2,1.0,SHY,Q,-0.14308709009398723,-0.5711856158304967,-0.00037330433509152883,-0.004344478901285198,-0.0015403109611807908,-0.008359906217751512,True,True
U56,CAP2,1.0,SHY,NEVER,-0.35951648432105987,-1.4351444589672928,-0.0009076461184127638,-0.008723195337590361,-0.0015403109611809018,-0.009623993095631,True,True
U56,CAP2,1.0,IEF,W,-0.0042810176953508305,-0.017089282667598127,0.0029737581758451093,0.008984959774461121,-0.0083481259832896,-0.03190273888117434,True,True
U56,CAP2,1.0,IEF,M,-0.0750041672706363,-0.29940717533770167,0.0005859543051285332,-0.009611212015264048,-0.0054390545124815,-0.05006633206993838,True,True
U56,CAP2,1.0,IEF,Q,-0.14403442511630793,-0.5749672577505791,-0.0014280086561424543,-0.026660027331016245,-0.0015403109611811239,-0.05601636935470622,True,True
U56,CAP2,1.0,IEF,NEVER,-0.35951648432105987,-1.4351444589672928,-0.0009076461184127638,-0.008723195337590361,-0.0015403109611809018,-0.009623993095631,True,True
U56,CAP2,1.0,LQD,W,0.00012328703785691175,0.0004921463047153907,0.011590503536691665,-0.010781465340750529,-0.0925889440011457,-0.08701587753601547,True,False
U56,CAP2,1.0,LQD,M,-0.07269056129286289,-0.2901715520935948,0.010159663743569247,0.00599439566542781,-0.04312743085469306,-0.06270992794751051,True,False
U56,CAP2,1.0,LQD,Q,-0.14411960607467533,-0.5753072893923585,0.010941209482198566,0.035922219740825545,-0.0028167393677622776,0.0029369485894870095,True,True
U56,CAP2,1.0,LQD,NEVER,-0.35951648432105987,-1.4351444589672928,-0.0009076461184127638,-0.008723195337590361,-0.0015403109611809018,-0.009623993095631,True,True
U56,CAP2,1.0,ZERO,n/a,-0.35951648432105987,-1.4351444589672928,-0.0009076461184127638,-0.008723195337590361,-0.0015403109611809018,-0.009623993095631,True,True
U56,CAND,0.75,SHY,M,-0.002674807401914059,-0.01175463588213077,-4.866092521016441e-05,-0.00042451580897084895,-6.754945700926385e-05,-0.00041665317917360944,True,True
U56,CAND,0.75,SHY,Q,-0.00873058435275953,-0.03836718861757227,-3.9530893428008085e-05,-0.0003175373503578882,-7.110764217332921e-05,-0.00029961551264556796,True,True
U56,CAND,0.75,SHY,NEVER,-0.01937928223823515,-0.08516366681372567,-0.0036145031651833026,-0.03296393851895507,-0.0032244899675584193,-0.03830884462615347,True,True
U56,CAND,0.75,IEF,W,0.0067499788800244875,0.029663273658500522,0.002399998920162183,0.03372711603581058,0.001187321441877609,-0.018872503231240234,True,True
U56,CAND,0.75,IEF,M,0.001080346295459389,0.004747660456093428,0.00211762434496765,0.031442109778598404,0.0009441397031375587,-0.019480969862397668,True,True
U56,CAND,0.75,IEF,Q,-0.00534923685553923,-0.023507610842987248,0.00223751585223253,0.03280541352252775,0.0009441397031377807,-0.018005048689141656,True,True
U56,CAND,0.75,IEF,NEVER,-0.01937928223823515,-0.08516366681372567,-0.0036145031651833026,-0.03296393851895507,-0.0032244899675584193,-0.03830884462615347,True,True
U56,CAND,0.75,LQD,W,0.000253886332910902,0.0011157219756015024,0.007450837881936012,0.002143591988528648,-0.04126858928832977,-0.06711984068776244,True,False
