L,S,scope,estimator,n_IS,n_OOS,IS_mean,OOS_mean,MAE,RMSE,bias,maxAE,R2_vs_zero
2,6,ALL,ZERO,1296,2592,-0.2129130328019826,-0.3511278580089847,0.618857719054934,1.1907418488369321,0.3511278580089847,6.899208056554729,0.0
2,6,ALL,GLOBAL,1296,2592,-0.2129130328019826,-0.3511278580089847,0.6486563193322276,1.1461582420454077,0.13821482520700215,6.686295023752746,0.07348185491343728
2,6,ALL,PANEL,1296,2592,-0.2129130328019826,-0.3511278580089847,0.6517500454967571,1.146725425922873,0.13821482520700212,6.750811845927003,0.07256464093745618
2,6,ALL,FAMILY,1296,2592,-0.2129130328019826,-0.3511278580089847,0.5694554333014706,1.1095065686165408,0.13821482520700215,6.510598226425756,0.13179052528548862
2,6,ALL,LAG1-PANEL,1296,2592,-0.2129130328019826,-0.3511278580089847,0.7475386791370288,1.151893533327104,0.020418545705832316,6.51380999372137,0.06418619868603703
2,6,ALL,LAG1-POOLED,1296,2592,-0.2129130328019826,-0.3511278580089847,0.7652812117334855,1.1697576317974294,0.020418545705832302,6.59860938624464,0.034935056037057266
2,6,ALL,WINDOW-ORACLE,1296,2592,-0.2129130328019826,-0.3511278580089847,0.7117352736910159,1.0555432908835287,-1.0965165675310187e-17,5.854188784576362,0.21419124190244276
2,6,MA-THRESH,ZERO,648,1296,-0.3886098301289729,-0.6742505794351871,1.1809741825133844,1.6813469058791282,0.6742505794351871,6.899208056554729,0.0
2,6,MA-THRESH,GLOBAL,648,1296,-0.3886098301289729,-0.6742505794351871,1.0803126601271118,1.5664942424742094,0.2856407493062142,6.510598226425756,0.1319535846025871
2,6,MA-THRESH,PANEL,648,1296,-0.3886098301289729,-0.6742505794351871,1.098282903245662,1.569456311404456,0.2856407493062142,6.634262530314661,0.128667719658342
2,6,MA-THRESH,FAMILY,648,1296,-0.3886098301289729,-0.6742505794351871,1.0803126601271118,1.5664942424742094,0.2856407493062142,6.510598226425756,0.1319535846025871
2,6,MA-THRESH,LAG1-PANEL,648,1296,-0.3886098301289729,-0.6742505794351871,1.0348257925679005,1.5133877421075812,0.3435412671320346,6.51380999372137,0.18981207531131894
2,6,MA-THRESH,LAG1-POOLED,648,1296,-0.3886098301289729,-0.6742505794351871,1.0904899986827208,1.5708105447537044,0.3435412671320346,6.59860938624464,0.12716338174177333
2,6,MA-THRESH,WINDOW-ORACLE,648,1296,-0.3886098301289729,-0.6742505794351871,0.9645485825113178,1.3945937059056095,0.3231227214262023,5.854188784576362,0.3120121895489254
2,12,ALL,ZERO,648,1296,-0.23988523047092875,-0.3425995559545172,0.56468309230098,1.1003873324177467,0.3425995559545172,6.431307778693052,0.0
2,12,ALL,GLOBAL,648,1296,-0.23988523047092875,-0.3425995559545172,0.6102982585352574,1.0507273948388138,0.10271432548358846,6.191422548222123,0.08822234117772443
2,12,ALL,PANEL,648,1296,-0.23988523047092875,-0.3425995559545172,0.6132603584052045,1.049520066968321,0.10271432548358848,6.140652824206033,0.09031647547852817
2,12,ALL,FAMILY,648,1296,-0.23988523047092875,-0.3425995559545172,0.5251370759387861,1.0086565091080324,0.10271432548358837,5.988239804925345,0.15977533425008128
2,12,ALL,LAG1-PANEL,648,1296,-0.23988523047092875,-0.3425995559545172,0.7160859091056587,1.107528479139109,0.04124651233214213,5.700783851090158,-0.013021448612396735
2,12,ALL,LAG1-POOLED,648,1296,-0.23988523047092875,-0.3425995559545172,0.7248467190540192,1.1122888681500251,0.04124651233214212,5.857727872290247,-0.021748519840717906
2,12,ALL,WINDOW-ORACLE,648,1296,-0.23988523047092875,-0.3425995559545172,0.654472684021529,0.9898742696732549,-1.0965165675310187e-17,5.5331501699515675,0.19077571652886216
2,12,MA-THRESH,ZERO,324,648,-0.4430679737677063,-0.6573982686717478,1.0717391524841955,1.5531812038806017,0.6573982686717478,6.431307778693052,0.0
2,12,MA-THRESH,GLOBAL,324,648,-0.4430679737677063,-0.6573982686717478,0.9900673577481759,1.4234243372055422,0.21433029490404146,5.988239804925345,0.1601059173380165
2,12,MA-THRESH,PANEL,324,648,-0.4430679737677063,-0.6573982686717478,1.0060812620179176,1.4216686533410634,0.2143302949040414,5.889237870138556,0.16217652840575913
2,12,MA-THRESH,FAMILY,324,648,-0.4430679737677063,-0.6573982686717478,0.9900673577481759,1.4234243372055422,0.21433029490404132,5.988239804925345,0.1601059173380165
2,12,MA-THRESH,LAG1-PANEL,324,648,-0.4430679737677063,-0.6573982686717478,1.0613933610529083,1.484173834123948,0.35604522504937275,5.700783851090158,0.08688539538728157
2,12,MA-THRESH,LAG1-POOLED,324,648,-0.4430679737677063,-0.6573982686717478,1.0974926391190631,1.5136236164040922,0.35604522504937264,5.857727872290247,0.05028884740418027
2,12,MA-THRESH,WINDOW-ORACLE,324,648,-0.4430679737677063,-0.6573982686717478,0.9085388577318191,1.3218387624358,0.31479871271723053,5.5331501699515675,0.2757096247970676
3,6,ALL,ZERO,972,2268,-0.1141255142389587,-0.26507694369264934,0.5285702764051451,0.9633693065821001,0.26507694369264934,4.716620461289933,0.0
3,6,ALL,GLOBAL,972,2268,-0.1141255142389587,-0.26507694369264934,0.5315476700434475,0.9384034147642222,0.15095142945369064,4.602494947050975,0.051158769171208096
3,6,ALL,PANEL,972,2268,-0.1141255142389587,-0.26507694369264934,0.5515191201900067,0.9393980623811816,0.1509514294536906,4.512940576664876,0.04914628111265629
3,6,ALL,FAMILY,972,2268,-0.1141255142389587,-0.26507694369264934,0.49912457347781125,0.9207941296414089,0.15095142945369058,4.520523783180208,0.08643495744439433
3,6,ALL,LAG1-PANEL,972,2268,-0.1141255142389587,-0.26507694369264934,0.6163114677821717,0.8959960837595314,0.02774609166689605,4.296909494757961,0.13497907717455437
3,6,ALL,LAG1-POOLED,972,2268,-0.1141255142389587,-0.26507694369264934,0.6062204944247443,0.9281687000292552,0.02774609166689604,4.4411171977335195,0.07174301240883685
3,6,ALL,WINDOW-ORACLE,972,2268,-0.1141255142389587,-0.26507694369264934,0.5923150008276877,0.8791142571083848,-2.5063235829280428e-17,4.220234065966052,0.1672684180414552
3,6,MA-THRESH,ZERO,486,1134,-0.19609667810972534,-0.5057616522055739,1.0051045565080985,1.3598855339858786,0.5057616522055739,4.716620461289933,0.0
