panel,shape,eps,draw,pick_flip,ref_pick,pick,is_Sharpe,oos_CAGR,oos_Sharpe,oos_MaxDD,base_oos_CAGR,base_oos_Sharpe,base_oos_MaxDD,spy_oos_CAGR,spy_oos_Sharpe,spy_oos_MaxDD
U56,IID,0.0001,0,False,BAND08@g1.00,BAND08@g1.00,1.1232453497592259,0.11995572116355024,1.1615253128513048,-0.19051363380652442,0.09447135635542803,1.27464881034687,-0.12055549120262465,0.15235551874951425,0.8719344616024283,-0.3372114528658674
U56,IID,0.0001,1,False,BAND08@g1.00,BAND08@g1.00,1.1233086293648256,0.11995241974065873,1.1615199370712073,-0.19051889254251175,0.09451511615407493,1.275266974780767,-0.12055715737471229,0.1523779074624103,0.8721345454114161,-0.3371927481641873
U56,IID,0.0001,2,False,BAND08@g1.00,BAND08@g1.00,1.1232274907828257,0.11997265946713398,1.161633398188884,-0.19050556753011472,0.09447723533410834,1.274665928895009,-0.12054098082707354,0.1523673057310886,0.872175599086731,-0.33715893425924925
U56,IID,0.0001,3,False,BAND08@g1.00,BAND08@g1.00,1.1232454886247338,0.11994758290819507,1.1614562449098935,-0.1905040569195472,0.09447290857335533,1.274622137042646,-0.12054850538765427,0.15236989420671176,0.8721108451585279,-0.33708724501726983
U56,IID,0.0001,4,False,BAND08@g1.00,BAND08@g1.00,1.1226807972111232,0.11995728142185902,1.1614969456764563,-0.19050903638234484,0.09452440287342778,1.275208509173268,-0.12055198410080248,0.1523753404915409,0.8721610514211362,-0.3371655797185208
U56,IID,0.0001,5,False,BAND08@g1.00,BAND08@g1.00,1.1214365492749656,0.11994722408684622,1.161448688392124,-0.1905055205674302,0.09452437911427602,1.275292039499624,-0.12055348649057684,0.15238187650836954,0.8722022128920988,-0.33711781392859286
U56,IID,0.0001,6,False,BAND08@g1.00,BAND08@g1.00,1.122610176409651,0.11995152721543167,1.1614832670450608,-0.19050784350835015,0.09451859878561497,1.2752287939010194,-0.12055471177524957,0.15237635119649173,0.872159050251973,-0.3371009713259654
U56,IID,0.0001,7,False,BAND08@g1.00,BAND08@g1.00,1.123348048130392,0.11995500393734204,1.161465066096734,-0.1905005256801433,0.09443422273878666,1.274005138018749,-0.12054317922010949,0.15236798335971247,0.8721789718111606,-0.3372442741253834
U56,IID,0.0001,8,False,BAND08@g1.00,BAND08@g1.00,1.1232241736271846,0.11996505160823556,1.1615999511099284,-0.19051483165202077,0.09442384308593832,1.2739426898308848,-0.12055804469216136,0.15237359471344059,0.8720728665432107,-0.3371552822150651
U56,IID,0.0001,9,False,BAND08@g1.00,BAND08@g1.00,1.1226069288483183,0.11986869299724101,1.1593481938882932,-0.19050796973834982,0.09448184815015792,1.274682604585557,-0.12055382377130963,0.15236438747076098,0.8720903047989208,-0.33726575813326565
U56,IID,0.0001,10,False,BAND08@g1.00,BAND08@g1.00,1.1231912705027403,0.11995135575579874,1.1615618939896597,-0.1905074502621552,0.09447712075745773,1.274741802085024,-0.12054620456510468,0.1523798003104968,0.8719910965528591,-0.33720519443412345
U56,IID,0.0001,11,False,BAND08@g1.00,BAND08@g1.00,1.1226491993830547,0.11996410451774953,1.1615826458871275,-0.19049575662723006,0.09438687861474393,1.273489052090165,-0.12054149796152813,0.15237269863699843,0.8721880742295609,-0.3371069492745239
U56,IID,0.0001,12,False,BAND08@g1.00,BAND08@g1.00,1.1220126739691565,0.11986550140055785,1.1594125644539612,-0.19049569716121084,0.09449763420342938,1.2749923202181959,-0.12053891140920037,0.15237503564919552,0.8720452926981584,-0.3371647036535045
U56,IID,0.0001,13,False,BAND08@g1.00,BAND08@g1.00,1.1233603123889508,0.11996247353183276,1.1615796345765539,-0.19049704182227967,0.09447613091360862,1.2746700669330657,-0.1205412486069759,0.15236893997466727,0.87196150801695,-0.3372029368013745
U56,IID,0.0001,14,False,BAND08@g1.00,BAND08@g1.00,1.1232553717787555,0.11986795750627133,1.1593869719633467,-0.19049333276718383,0.0943755225866818,1.2732995748748863,-0.12054106846059609,0.15238936431933725,0.8721117406922487,-0.33714118860230624
U56,IID,0.0001,15,False,BAND08@g1.00,BAND08@g1.00,1.1224414885840797,0.11986868487299818,1.159411195771141,-0.19050234549421463,0.09437397897641109,1.2733322122717583,-0.12054177475328165,0.15239018604363852,0.8721997323037756,-0.33713244418298094
U56,IID,0.0001,16,False,BAND08@g1.00,BAND08@g1.00,1.1226566878972783,0.11996897388479133,1.1616011297577642,-0.19051435550024298,0.09447280492630883,1.2746152225938496,-0.12055352087585669,0.1523659208927397,0.8719901435622032,-0.33728454606031466
U56,IID,0.0001,17,False,BAND08@g1.00,BAND08@g1.00,1.1226968944315316,0.11996764792214099,1.161562953181601,-0.19051657578744008,0.0944813492466492,1.2746642495834648,-0.12056242144315654,0.15236169956925938,0.8721166095421075,-0.3371423954567181
U56,IID,0.0001,18,False,BAND08@g1.00,BAND08@g1.00,1.1231894244893827,0.11987132244344245,1.159402550264731,-0.19050097067062843,0.09437516610102126,1.2733377084776896,-0.12054050920040105,0.1523650022226648,0.8721223013781659,-0.3371560468196806
U56,IID,0.0001,19,False,BAND08@g1.00,BAND08@g1.00,1.1226582930794757,0.11995763494276468,1.1615657276217113,-0.19049920173785828,0.09446796428796511,1.2745909715495858,-0.12055374728148893,0.1523713002295073,0.8722877082479431,-0.33720163750969656
U56,IID,0.0001,20,False,BAND08@g1.00,BAND08@g1.00,1.1225841804781898,0.11996811137514252,1.1615895078255396,-0.19050058023922667,0.09436427638973721,1.2732001072579249,-0.12054838953707692,0.15237831967632554,0.8723322411183251,-0.33708246259144503
U56,IID,0.0001,21,False,BAND08@g1.00,BAND08@g1.00,1.1225730543482906,0.11995483739162327,1.161486404568923,-0.1905030438779014,0.0944804275563873,1.2747050006634248,-0.12054672638839703,0.15237976046433022,0.8720879670717201,-0.33719385994180096
