panel,family,books,keep4a,keep4b,both
B136,momQ,20,0,0,0
B136,volQ,20,0,0,0
SMALL663,advQ,20,2,1,1
SMALL663,capQ,20,0,0,0
SMALL663,momQ,20,0,0,0
SMALL663,volQ,20,0,0,0
U56,momQ,20,0,0,0
U56,volQ,20,0,0,0
