panel,chooser,band,c,G,note,oos_CAGR,oos_Sharpe,oos_MaxDD,oos_4a,oos_4b,full_CAGR,full_Sharpe,full_MaxDD,full_4a,full_4b,d_sharpe_vs_base,d_sharpe_vs_spy
U56,C_SHARPE,BAND010,0.1,1.0,argmax IS Sharpe,0.121440386476652,1.1940003173604503,-0.16295337966879642,False,True,0.11719587244277263,1.172574806347033,-0.16295337966879686,False,True,-0.08288208009837517,0.32016017030573674
U56,C_DDNORM,NOGATE,-1.0,1.0,argmax IS DDnorm at IS-chosen normaliser DOWNVOL/W=20,0.18276249214810947,1.1264338926016002,-0.2917898169192257,False,False,0.17634380362702506,1.1194957450521954,-0.2917898169192258,False,False,-0.15044850485722527,0.2525937455468866
U56,C_RESID,BAND003,0.03,0.2,argmax IS normalised excess vs gross-matched twin (DOWNVOL/W=20),0.02490409653706327,1.2778983170702285,-0.032857857208547614,False,False,0.02277311225018841,1.2010319847751558,-0.032857857208547725,False,False,0.0010159196114030156,0.4040581700155149
U56,C_ANCHOR,BAND003,0.03,0.75,"the LIVE book, choosing nothing",0.0945517936976279,1.2768823974588255,-0.12054956914840875,False,False,0.08618487105855244,1.20113235219264,-0.12054956914840886,False,False,0.0,0.4030422504041119
B136,C_SHARPE,NOGATE,-1.0,1.0,argmax IS Sharpe,0.1826875549224829,1.085652539514379,-0.3272153855796245,False,False,0.18744282641167986,1.1137910484527578,-0.3272153855796247,False,False,-0.016259964905359192,0.21180139577836365
B136,C_DDNORM,BAND003,0.03,1.0,argmax IS DDnorm at IS-chosen normaliser ROLLVOL/W=252,0.10473004292318322,1.1008385728264356,-0.16158091944280473,False,False,0.10627284809226034,1.097235740220734,-0.16158091944280473,False,True,-0.0010739315933026017,0.22698742909042025
B136,C_RESID,BAND003,0.03,0.2,argmax IS normalised excess vs gross-matched twin (ROLLVOL/W=252),0.020845594539650847,1.1037901485412929,-0.03335796689296755,False,False,0.021121258929257092,1.0970551908705946,-0.033357966892967106,False,False,0.0018776441215546669,0.2299390048052775
B136,C_ANCHOR,BAND003,0.03,0.75,"the LIVE book, choosing nothing",0.07847283605551292,1.1019125044197382,-0.12241069123223425,False,False,0.07958992027840184,1.0973256635620148,-0.12241069123223436,False,False,0.0,0.22806136068372285
SMALL,C_SHARPE,NOGATE,-1.0,1.0,argmax IS Sharpe,0.11476647820445995,0.5945393550457071,-0.44381431847238584,False,False,0.1300438825046335,0.7034765580446054,-0.44381431847238595,False,False,0.04867709110961227,-0.2793007920090065
SMALL,C_DDNORM,BAND010,0.1,1.0,argmax IS DDnorm at IS-chosen normaliser DOWNVOL/W=20,0.05319730623992913,0.5840952363553717,-0.20350199428039673,False,False,0.06421703016240254,0.7192608034952408,-0.2035019942803975,False,False,0.03823297241927692,-0.28974491069934183
SMALL,C_RESID,BAND010,0.1,0.2,argmax IS normalised excess vs gross-matched twin (DOWNVOL/W=20),0.011179708311070069,0.5847316460718547,-0.04337215536095096,True,False,0.01319922878360602,0.718650656705509,-0.04337215536095296,True,False,0.038869382135759856,-0.2891085009828589
SMALL,C_ANCHOR,BAND003,0.03,0.75,"the LIVE book, choosing nothing",0.03635375722473366,0.5458622639360948,-0.14158634613008736,False,False,0.04263549964259328,0.659690258671795,-0.1415863461300867,False,False,0.0,-0.32797788311861875
