panel,estimator,n,MAE,RMSE,bias,sign_agree
SMALL439,ZERO,36,0.6633486313250665,0.7646468282547876,0.6633486313250665,0.0
SMALL439,GLOBAL,36,0.46962827975107174,0.6031858481951242,0.4681664257329904,1.0
SMALL439,PANEL,36,0.5601024535460817,0.6770288943225453,0.5601024535460817,1.0
SMALL439,PANELGATE,36,0.563876447459921,0.7363482485481212,0.5601024535460817,0.5
SMALL439,CELLIS,36,0.507922138195208,0.6273491878553358,0.41768479794797586,0.75
SMALL439,ORACLE,36,0.31924484235711786,0.38033322925990537,-6.167905692361981e-17,1.0
U56,ZERO,36,0.48954682975880054,0.5953356025492375,0.48445159172522057,0.0
U56,GLOBAL,36,0.35171919632133053,0.45100766367259243,0.28926938613314457,0.9444444444444444
U56,PANEL,36,0.3366448948310594,0.432398808197041,0.2593021295567346,0.9444444444444444
U56,PANELGATE,36,0.33000225101933206,0.42156448637717525,0.2593021295567346,0.9444444444444444
U56,CELLIS,36,0.4992775073926919,0.6288238580520761,0.38923657166424275,0.6111111111111112
U56,ORACLE,36,0.2772659869497836,0.34602187060583883,4.9343245538895844e-17,0.9444444444444444
B136,ZERO,36,0.7901388961513205,0.8738439109211212,0.7901388961513205,0.0
B136,GLOBAL,36,0.5949566905592446,0.7023226958342594,0.5949566905592446,1.0
B136,PANEL,36,0.5337733330009647,0.6506610696718288,0.5329879193225633,1.0
B136,PANELGATE,36,0.5331957177939098,0.6464366588428133,0.5329879193225633,1.0
B136,CELLIS,36,0.6375756006828591,0.7508673600880965,0.5856076919784403,0.6111111111111112
B136,ORACLE,36,0.3060681119667562,0.37320732233263215,4.9343245538895844e-17,1.0
POOLED,ZERO,108,0.6476781190783958,0.7533729559513647,0.6459797064005358,0.0
POOLED,GLOBAL,108,0.47210138887721564,0.5945581690740847,0.45079750080845993,0.9814814814814815
POOLED,PANEL,108,0.47684022712603524,0.596851930455206,0.45079750080845976,0.9814814814814815
POOLED,PANELGATE,108,0.47569147209105433,0.6158478473373644,0.45079750080845993,0.8148148148148148
POOLED,CELLIS,108,0.5482584154235863,0.6715127798247561,0.464176353863553,0.6574074074074074
POOLED,ORACLE,108,0.3008596470912192,0.3668188497789815,1.2335811384723961e-17,0.9814814814814815
