anchor,family,point,n,mean_d,t,wins,losses,sign_p
W,ALL,D,115,-0.058331599382881336,-9.676095486891713,16,99,8.564981783013103e-16
W,ALL,2D,115,-0.01776179510666871,-3.1913823876797567,36,79,7.516458966444587e-05
W,ALL,W,115,0.0,,0,0,1.0
W,ALL,2W,115,0.008914995879274582,1.650873043475374,67,48,0.09281592098218937
W,ALL,M,115,0.07609970989035277,6.707476396603264,94,21,3.240204200619262e-12
W,ALL,6W,115,0.09992513755376652,8.48802816861743,92,23,5.787079262982775e-11
W,ALL,7W,115,-0.07385093250829282,-5.74876394947527,26,89,2.952378329881734e-09
W,ALL,8W,115,-0.029264781063744763,-1.8142729285273982,39,76,0.0007171910479201696
W,ALL,2M,115,0.14599154991478727,10.99323621936062,108,7,2.2527678876397474e-24
W,ALL,10W,115,0.013416322019015174,0.8514920314774799,46,69,0.03975050512654258
W,ALL,Q,115,-0.14121833350213447,-7.75252712436674,26,89,2.952378329881734e-09
W,ALL,16W,115,-0.05002622618571821,-2.3391016587896067,42,73,0.0049281538522553126
W,ALL,2Q,115,-0.033618777974724935,-1.9660485154122955,39,76,0.0007171910479201696
W,SMALL,D,49,-0.07445742835663502,-6.057890521281,7,42,3.6245783263666453e-07
W,SMALL,2D,49,-0.015579711570084873,-1.3166714149282952,18,31,0.08543313315739454
W,SMALL,W,49,0.0,,0,0,1.0
W,SMALL,2W,49,0.00952446052530098,0.879799740928447,23,26,0.7754496546815659
W,SMALL,M,49,0.09783196504588904,3.912353333132283,35,14,0.003801654409748778
W,SMALL,6W,49,0.01631496689265622,0.8050688306272323,28,21,0.3916029105474905
W,SMALL,7W,49,0.010354234016165203,0.48038376372429564,22,27,0.5681724128491652
W,SMALL,8W,49,0.1000104275680858,4.090319822391294,33,16,0.021294114141387155
W,SMALL,2M,49,0.23621237730131125,9.620275547877483,45,4,8.225455871979648e-10
W,SMALL,10W,49,0.15913231618304283,7.54511093651606,43,6,5.7277652842913085e-08
W,SMALL,Q,49,0.03127173657360908,1.2933680500162092,26,23,0.7754496546815659
W,SMALL,16W,49,0.17249158669406944,7.5529206235599275,41,8,1.9646537765538596e-06
W,SMALL,2Q,49,0.12222301206613284,5.296668767034735,36,13,0.001402688503695515
W,U56,D,33,-0.04278110406837038,-6.316854529702887,5,28,6.618769839406013e-05
W,U56,2D,33,-0.013962701703191117,-2.4344773139316542,9,24,0.013530986849218607
W,U56,W,33,0.0,,0,0,1.0
W,U56,2W,33,0.01431044848126088,2.0922192651118916,26,7,0.0013187271542847157
W,U56,M,33,0.04689478969823471,7.240686639063599,30,3,1.4011748135089874e-06
W,U56,6W,33,0.16399889114265231,15.686748759644683,32,1,7.916241884231567e-09
W,U56,7W,33,-0.14678666017018221,-17.211538635988166,0,33,2.3283064365386963e-10
W,U56,8W,33,-0.13414433373036833,-11.145698426687073,1,32,7.916241884231567e-09
W,U56,2M,33,0.0797593266818391,9.21745602170366,31,2,1.3085082173347473e-07
W,U56,10W,33,-0.09855072727511294,-8.340113693111874,0,33,2.3283064365386963e-10
W,U56,Q,33,-0.24718381418591084,-18.94205219683828,0,33,2.3283064365386963e-10
W,U56,16W,33,-0.25506775575091883,-22.30019241352347,0,33,2.3283064365386963e-10
W,U56,2Q,33,-0.16338517114067774,-12.594941075789702,0,33,2.3283064365386963e-10
W,ETF,D,33,-0.04993768197878838,-7.2830840076318095,4,29,1.0928604751825333e-05
W,ETF,2D,33,-0.024800951943255614,-4.044991589992445,9,24,0.013530986849218607
W,ETF,W,33,0.0,,0,0,1.0
W,ETF,2W,33,0.0026145806210672675,0.36237115812088794,18,15,0.7283324808813632
W,ETF,M,33,0.07303552394243217,6.824755057587596,29,4,1.0928604751825333e-05
W,ETF,6W,33,0.15999981918895356,13.972569957980514,32,1,7.916241884231567e-09
W,ETF,7W,33,-0.12594711877665926,-6.626298485799703,4,29,1.0928604751825333e-05
W,ETF,8W,33,-0.11633932606256654,-5.834221876264313,5,28,6.618769839406013e-05
W,ETF,2M,33,0.0782595143010786,7.339607273214473,32,1,7.916241884231567e-09
W,ETF,10W,33,-0.09098280183950386,-5.946483500587457,3,30,1.4011748135089874e-06
W,ETF,Q,33,-0.29137447202173483,-20.059691461481844,0,33,2.3283064365386963e-10
W,ETF,16W,33,-0.175389933926869,-10.415332012542045,1,32,7.916241884231567e-09
W,ETF,2Q,33,-0.13525383062701551,-7.810922020200361,3,30,1.4011748135089874e-06
6W,ALL,D,115,-0.15825673693664785,-13.628077681092124,13,102,2.687543585380812e-18
6W,ALL,2D,115,-0.11768693266043521,-9.553719804919071,21,94,3.240204200619262e-12
6W,ALL,W,115,-0.09992513755376652,-8.48802816861743,23,92,5.787079262982775e-11
6W,ALL,2W,115,-0.09101014167449194,-7.9761579748659335,21,94,3.240204200619262e-12
6W,ALL,M,115,-0.023825427663413733,-1.8556683601998039,31,84,8.02856176220707e-07
6W,ALL,6W,115,0.0,,0,0,1.0
6W,ALL,7W,115,-0.17377607006205933,-10.383961096919567,19,96,1.4467477786679854e-13
6W,ALL,8W,115,-0.12918991861751125,-6.778490326321579,39,76,0.0007171910479201696
