panel,book,ladder_hi_to_lo,rises,falls,flat,nondecreasing_as_g_falls,span_bps
B136,CAND,g1.00:never -> g0.85:never -> g0.75:35 -> g0.70:23 -> g0.55:never -> g0.40:never,1,2,2,False,36.0
B136,CAP2,g1.00:never -> g0.85:42 -> g0.75:33 -> g0.70:21 -> g0.55:never -> g0.40:never,1,3,1,False,43.0
U56,CAND,g1.00:never -> g0.85:49 -> g0.75:49 -> g0.70:35 -> g0.55:never -> g0.40:never,1,2,2,False,50.0
U56,CAP2,g1.00:54 -> g0.85:52 -> g0.75:34 -> g0.70:19 -> g0.55:never -> g0.40:never,0,4,1,False,55.0
