claimset,defn,n,sole_L1_H1,sole_L2_H2,sole_L3_OOS,sole_L4_DD,sole_L5_CAGR,sole_any,sole_SHARPE,sole_LEVEL,fsole_SHARPE,fsole_DD,fsole_CAGR
ALLROWS,STRICT,883294,0.007305608325200896,0.002957112807287268,0.00013019447658424037,0.1737552841975605,0.18619734765548052,0.3703455474621134,0.010392915609072404,0.359952631853041,,,
ALLROWS,FAMILY,883294,,,,,,0.37381324904278757,0.013860617189746563,0.359952631853041,0.013860617189746563,0.1737552841975605,0.18619734765548052
ALLROWS,RECOMP,107705,0.00560791049626294,0.0003713848010770159,2.7853860080776194e-05,0.3093078315769927,0.25145536418922054,0.566770344923634,0.0060071491574207325,0.5607631957662133,,,
REALROWS,STRICT,651409,0.008200684976719694,0.003708883358995654,0.00015811878558632134,0.14345518714049085,0.17999444281549687,0.3355173170772894,0.01206768712130167,0.3234496299559877,,,
REALROWS,FAMILY,651409,,,,,,0.3398049458942078,0.016355315938220073,0.3234496299559877,0.016355315938220073,0.14345518714049085,0.17999444281549687
REALROWS,RECOMP,2714,0.011790714812085483,0.010685335298452468,0.0007369196757553427,0.24392041267501843,0.291451731761238,0.5585851142225498,0.023212969786293294,0.5353721444362565,,,
FILEWT,STRICT,436,0.018573367627121744,0.01244722948008435,0.00012109366605397865,0.20863471788839869,0.20254595187168056,0.44232236053333934,0.031141690773260074,0.4111806697600792,,,
FILEWT,FAMILY,436,,,,,,0.4486124134994238,0.037431743739344624,0.4111806697600792,0.037431743739344624,0.20863471788839869,0.20254595187168056
FILEWT,RECOMP,13,0.013554916884868764,0.008345450145611458,0.00014767743388570086,0.31362388630967303,0.2702574230205228,0.6059293537945617,0.022048044464365923,0.5838813093301958,,,
FRESH,STRICT,39,0.02564102564102564,0.02564102564102564,0.0,0.38461538461538464,0.358974358974359,0.7948717948717948,0.05128205128205128,0.7435897435897436,,,
FRESH,FAMILY,39,,,,,,0.8205128205128205,0.07692307692307693,0.7435897435897436,0.07692307692307693,0.38461538461538464,0.358974358974359
FRESH,RECOMP,39,0.02564102564102564,0.02564102564102564,0.0,0.38461538461538464,0.358974358974359,0.7948717948717948,0.05128205128205128,0.7435897435897436,,,
