panel,selector,pick,IS_Sharpe,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,v2_OOS_CAGR,v2_OOS_Sharpe,v2_OOS_MaxDD,SPY_OOS_CAGR,SPY_OOS_Sharpe,SPY_OOS_MaxDD,beats_v2_OOS_Sharpe,beats_SPY_OOS_Sharpe,oos4a,oos4b
U56,S1_maxISsharpe,CAND40|g1.00|M,1.1635154190058177,-0.13659387476892804,0.16770837099577696,1.2226149946676865,-0.24367580317603899,0.09447597045404721,1.274666072828785,-0.12054945176473164,0.15237187725667578,0.872122672456382,-0.33717256775620263,False,True,False,False
U56,S2_maxISsharpe_among_IS4a,CAND40|g0.50|M,1.1589827951127203,-0.06940065175389243,0.08256565667881888,1.2210631121585018,-0.1280865459310414,0.09447597045404721,1.274666072828785,-0.12054945176473164,0.15237187725667578,0.872122672456382,-0.33717256775620263,False,True,False,False
U56,S3_minISmaxdd,IVOL10|g0.50|M,0.9402513085522537,-0.03678310087896042,0.035136398967876126,0.8738154609498765,-0.0608644835974389,0.09447597045404721,1.274666072828785,-0.12054945176473164,0.15237187725667578,0.872122672456382,-0.33717256775620263,False,True,False,False
U56,S4_maxIScalmar,CAND30|g1.00|M,1.0870441157867683,-0.12993335831123776,0.1805423203687173,1.191256936345705,-0.25994879447382613,0.09447597045404721,1.274666072828785,-0.12054945176473164,0.15237187725667578,0.872122672456382,-0.33717256775620263,False,True,False,False
B136,S1_maxISsharpe,IVOL20|g1.00|M,1.2104265049001166,-0.1020614589951725,0.0756851020790652,0.7260826798138361,-0.20026633098544577,0.07983337481604358,1.1185082795688428,-0.12240793860208021,0.1545044425578177,0.8820239235972316,-0.3371595330739301,False,False,False,False
B136,S2_maxISsharpe_among_IS4a,IVOL20|g1.00|M,1.2104265049001166,-0.1020614589951725,0.0756851020790652,0.7260826798138361,-0.20026633098544577,0.07983337481604358,1.1185082795688428,-0.12240793860208021,0.1545044425578177,0.8820239235972316,-0.3371595330739301,False,False,False,False
B136,S3_minISmaxdd,IVOL20|g0.50|W,1.0720729710306458,-0.04169460732806374,0.037382629747775065,0.7264589134407385,-0.0890671526919411,0.07983337481604358,1.1185082795688428,-0.12240793860208021,0.1545044425578177,0.8820239235972316,-0.3371595330739301,False,False,False,False
B136,S4_maxIScalmar,IVOL30|g1.00|M,1.1892005508496084,-0.09589123029931712,0.09506464239714463,0.8303896559478963,-0.23978479018681775,0.07983337481604358,1.1185082795688428,-0.12240793860208021,0.1545044425578177,0.8820239235972316,-0.3371595330739301,False,False,False,False
SMALL439,S1_maxISsharpe,IVOL10|g1.00|M,0.9959784153164206,-0.17113253591112565,0.042218078352417976,0.3379431010580718,-0.40472548231179406,0.038484818390415176,0.5680478274897116,-0.14684660563541274,0.15450723909089636,0.8820106885412021,-0.33717256775620263,False,False,False,False
SMALL439,S2_maxISsharpe_among_IS4a,IVOL10|g0.50|M,0.9946137982665052,-0.08758975886735454,0.024731567067954874,0.35025066772721997,-0.2113460273588481,0.038484818390415176,0.5680478274897116,-0.14684660563541274,0.15450723909089636,0.8820106885412021,-0.33717256775620263,False,False,False,False
SMALL439,S3_minISmaxdd,EWALL|g0.50|M,0.7350380492115317,-0.05697492160401241,0.02952880315911477,0.6190791406454031,-0.11404862846594443,0.038484818390415176,0.5680478274897116,-0.14684660563541274,0.15450723909089636,0.8820106885412021,-0.33717256775620263,True,False,True,False
SMALL439,S4_maxIScalmar,IVOL10|g1.00|M,0.9959784153164206,-0.17113253591112565,0.042218078352417976,0.3379431010580718,-0.40472548231179406,0.038484818390415176,0.5680478274897116,-0.14684660563541274,0.15450723909089636,0.8820106885412021,-0.33717256775620263,False,False,False,False
