panel,window,shape,spread,rho,gstar_N5,gstar_N10,gstar_N15,gstar_N20,gstar_N25,gstar_N30,J_N5,J_N10,J_N15,J_N20,J_N25,J_N30
U56,IS,DIAGONAL,0.25,0.9411239481143203,0.4,0.5,0.6,0.65,0.65,0.65,-0.5239807732279916,0.36433556313084925,1.4374581421831039,1.0988212896004739,0.4743066575230964,0.4992833356769172
U56,OOS,UNSTRUCTURED,0.15000000000000002,0.5070925528371099,0.5,0.6,0.6,0.65,0.6,0.6,0.9332587169974871,3.3305706506458392,3.852041291381983,3.500686302553127,1.5299344582444,2.14125597498368
U56,FULL,UNSTRUCTURED,0.15000000000000002,0.5070925528371099,0.5,0.6,0.6,0.65,0.6,0.6,1.4104884243680935,3.049365266490055,3.0740154366483683,3.0703650204222264,1.1485070087556934,1.0585282551641582
B136,IS,DIAGONAL,0.30000000000000004,0.9856107606091623,0.35,0.45,0.55,0.6,0.6,0.65,0.006231703652850862,1.3265671434690844,1.0572182913696686,1.464474696429166,2.2422191163802756,1.752699645914249
B136,OOS,UNSTRUCTURED,0.09999999999999998,0.1690308509457033,0.5,0.6,0.6,0.6,0.6,0.55,-0.6692374002997714,2.767642070426646,3.392601828144859,2.3127956440016306,2.6542787892886444,1.4116926140648522
B136,FULL,UNSTRUCTURED,0.2,0.09107651110783745,0.45,0.6,0.65,0.6,0.6,0.55,0.7124592944079883,3.8191562322036408,3.0195904209876447,2.330133458906283,2.4677514016445605,1.0925343401364667
SMALL,IS,DIAGONAL,0.15000000000000002,0.9710083124552246,0.3,0.3,0.35,0.4,0.4,0.45,-4.989453391123439,-4.083465488366506,-3.9432923223037304,-3.2814214167267544,-2.271435896770119,-2.645246383020276
SMALL,OOS,DIAGONAL,0.15000000000000002,0.9411239481143203,0.35,0.4,0.45,0.5,0.5,0.5,-9.135270210884466,-5.9634386887591875,-5.697613214191527,-5.638345420616803,-6.3538837053523425,-5.9254216526785255
SMALL,FULL,DIAGONAL,0.15000000000000002,0.8827348295047496,0.35,0.4,0.4,0.45,0.5,0.45,-7.360780767604533,-5.223441005555593,-4.910946393574919,-4.778466900537912,-4.56766019692166,-4.858713504240628
