panel,book,conv,tranche,gross,turnover_yr,mean_names,mean_shy,mean_spy,mean_etf_nav,mean_gross,max_gross,max_w,n_excluded
U56,CAP2,RESPREAD,NONE,0.75,3.506382942083226,38.55662921348315,0.34390745283940255,0.014173457483730044,0.41158658889580574,1.0,1.0000000000000007,1.0,0
U56,CAP2,RESPREAD,NONE,1.0,3.9918738682526245,38.545842696629215,0.24994770958895224,0.016256351389743483,0.47159640651769713,1.0,1.0000000000000007,1.0,0
U56,CAP2,RESPREAD,NOBROAD,0.75,3.4078079897992417,32.406741573033706,0.3858840724065203,0.0,0.3413373335563797,1.0,1.0000000000000009,1.0,8
U56,CAP2,RESPREAD,NOBROAD,1.0,3.550542282931063,32.406741573033706,0.37156718682314227,0.0,0.34948466374513415,1.0,1.0000000000000009,1.0,8
U56,CAP2,RESPREAD,NOEQETF,0.75,2.441139747407084,21.5038202247191,0.5895093228455631,0.0,0.1314862419187525,1.0,1.0000000000000009,1.0,24
U56,CAP2,RESPREAD,NOEQETF,1.0,2.441139747407084,21.5038202247191,0.5895093228455631,0.0,0.1314862419187525,1.0,1.0000000000000009,1.0,24
U56,CAP2,RESPREAD,STOCKS,0.75,1.8325874864477079,14.926516853932585,0.7209834686348316,0.0,0.0,1.0,1.0000000000000009,1.0,35
U56,CAP2,RESPREAD,STOCKS,1.0,1.8325874864477079,14.926516853932585,0.7209834686348316,0.0,0.0,1.0,1.0000000000000009,1.0,35
U56,CAP2,DEGROSS,NONE,0.75,3.506382942083226,38.55662921348315,0.34390745283940255,0.014173457483730044,0.41158658889580574,1.0,1.0000000000000007,1.0,0
U56,CAP2,DEGROSS,NONE,1.0,3.9918738682526245,38.545842696629215,0.24994770958895224,0.016256351389743483,0.47159640651769713,1.0,1.0000000000000007,1.0,0
U56,CAP2,DEGROSS,NOBROAD,0.75,3.105914679110193,32.406741573033706,0.4503876169030501,0.0,0.3050792100233802,1.0,1.0000000000000009,1.0,8
U56,CAP2,DEGROSS,NOBROAD,1.0,3.5267585962400645,32.406741573033706,0.3726450478205446,0.0,0.3488660808237686,1.0,1.0000000000000009,1.0,8
U56,CAP2,DEGROSS,NOEQETF,0.75,2.232094152069236,21.5038202247191,0.639497148662738,0.0,0.11592363830539242,1.0,1.0000000000000009,1.0,24
U56,CAP2,DEGROSS,NOEQETF,1.0,2.429957619678623,21.5038202247191,0.5901950209734256,0.0,0.13126002786793461,1.0,1.0000000000000009,1.0,24
U56,CAP2,DEGROSS,STOCKS,0.75,1.748302838603273,14.926516853932585,0.7554110403613401,0.0,0.0,1.0,1.0000000000000009,1.0,35
U56,CAP2,DEGROSS,STOCKS,1.0,1.831332961375178,14.926516853932585,0.721442779223794,0.0,0.0,1.0,1.0000000000000009,1.0,35
U56,CAND,RESPREAD,NONE,0.75,4.394572810632718,38.55662921348315,0.2692610694091358,0.014466751503624814,0.454199581396905,1.0,1.0000000000000004,1.0,0
U56,CAND,RESPREAD,NONE,1.0,5.679032812388822,38.43685393258427,0.02599326048571622,0.0192820843014248,0.6054139949704325,1.0,1.0000000000000007,1.0,0
U56,CAND,RESPREAD,NOBROAD,0.75,4.373084610250652,32.406741573033706,0.2720934395220782,0.0,0.40424611872781896,1.0,1.0000000000000007,1.0,8
U56,CAND,RESPREAD,NOBROAD,1.0,5.660841245462172,32.28696629213483,0.029787449172372783,0.0,0.5388230098979959,1.0,1.0000000000000004,1.0,8
U56,CAND,RESPREAD,NOEQETF,0.75,4.180175834212391,21.5038202247191,0.28181641399134433,0.0,0.23657856506706426,1.0,1.0000000000000004,1.0,24
U56,CAND,RESPREAD,NOEQETF,1.0,5.425108030149632,21.384044943820225,0.042814045813844515,0.0,0.31532248473501917,1.0,1.0000000000000009,1.0,24
U56,CAND,RESPREAD,STOCKS,0.75,4.758720460897987,14.926516853932585,0.29969924994658337,0.0,0.0,1.0,1.000000000000001,1.0,35
U56,CAND,RESPREAD,STOCKS,1.0,6.165374225819798,14.806741573033708,0.06680034678865912,0.0,0.0,1.0,1.0000000000000007,1.0,35
U56,CAND,DEGROSS,NONE,0.75,4.394572810632718,38.55662921348315,0.2692610694091358,0.014466751503624814,0.454199581396905,1.0,1.0000000000000004,1.0,0
U56,CAND,DEGROSS,NONE,1.0,5.679032812388822,38.43685393258427,0.02599326048571622,0.0192820843014248,0.6054139949704325,1.0,1.0000000000000007,1.0,0
U56,CAND,DEGROSS,NOBROAD,0.75,4.214320453884505,32.406741573033706,0.37850950154954244,0.0,0.3449212094008861,1.0,1.0000000000000007,1.0,8
U56,CAND,DEGROSS,NOBROAD,1.0,5.511819018072768,32.3838202247191,0.17158515558754875,0.0,0.4597720155218653,1.0,1.0000000000000007,1.0,8
U56,CAND,DEGROSS,NOEQETF,0.75,3.530122024811587,21.5038202247191,0.5813981656697875,0.0,0.14198494070349665,1.0,1.0000000000000009,1.0,24
U56,CAND,DEGROSS,NOEQETF,1.0,4.653683389745721,21.50269662921348,0.4420076263419237,0.0,0.1892696487184381,1.0,1.0000000000000007,1.0,24
